Year	Champions	Score	Runners-up	Venue
1974	TuS Wörrstadt	4 – 0	DJK Eintracht Erle	Mainz
1975	Bonner SC	4 – 2	Bayern Munich	Bad Godesberg
1976	Bayern Munich	4 – 2 *	Tennis Borussia Berlin	Siegen
1977	SSG Bergisch Gladbach	0 – 0 # 1 – 0	FC Oberst Schiel 1902 Niederrad	Bergisch Gladbach Niederrad
1978	SC 07 Bad Neuenahr	2 – 0 # 0 – 1	FC Hellas Marpingen	Bad Neuenahr Eppelborn
1979	SSG Bergisch Gladbach	2 – 3 # 1 – 0	Bayern Munich	Munich Bergisch Gladbach
1980	SSG Bergisch Gladbach	5 – 0	KBC Duisburg	Bergisch Gladbach
1981	SSG Bergisch Gladbach †	4 – 0	Tennis Borussia Berlin	Bergisch Gladbach
1982	SSG Bergisch Gladbach †	6 – 0	Bayern Munich	Bergisch Gladbach
1983	SSG Bergisch Gladbach	6 – 0	Tennis Borussia Berlin	Bergisch Gladbach
1984	SSG Bergisch Gladbach †	3 – 1	FSV Frankfurt	Frankfurt
1985	KBC Duisburg	1 – 0	Bayern Munich	Duisburg
1986	FSV Frankfurt	5 – 0	SSG Bergisch Gladbach	Bergisch Gladbach
1987	TSV Siegen †	2 – 1	FSV Frankfurt	Siegen
1988	SSG Bergisch Gladbach	0 – 0 * (5 – 4 pso )	KBC Duisburg	Bergisch Gladbach
1989	SSG Bergisch Gladbach	2 – 0	TuS Ahrbach	Montabaur
1990	TSV Siegen	3 – 0	SSG Bergisch Gladbach	Siegen
Two divisional Bundesliga play-off finals:	Two divisional Bundesliga play-off finals:	Two divisional Bundesliga play-off finals:	Two divisional Bundesliga play-off finals:	Two divisional Bundesliga play-off finals:
1991	TSV Siegen	4 – 2	FSV Frankfurt	Siegen
1992	TSV Siegen	2 – 0	Grün-Weiß Brauweiler	Siegen
1993	TuS Niederkirchen	2 – 1 *	TSV Siegen	Limburgerhof
1994	TSV Siegen	1 – 0	Grün-Weiß Brauweiler	Pulheim
1995	FSV Frankfurt †	2 – 0	Grün-Weiß Brauweiler	Pulheim
1996	TSV Siegen	1 – 0	SG Praunheim	Frankfurt/Main
1997	Grün-Weiß Brauweiler †	1 – 1 * (5 – 3 pso )	FC Rumeln-Kaldenhausen	Duisburg-Homberg
