Date of Issue	Denomination	Design	Paper Type	First Day Cover Cancellation
8 January 2009	Permanent (Domestic Rate)	Ivan Novotny	Tullis Russell Coatings	Toronto, ON
8 January 2009	$1.65	Ivan Novotny	Tullis Russell Coatings	Toronto, ON
12 January 2009	Permanent (Domestic Rate)	John Belisle, Kosta Tsetsekas	Tullis Russell Coatings	Whistler and Vancouver, BC
12 January 2009	Permanent (Domestic Rate)	VANOC	Tullis Russell Coatings	Vancouver, BC
12 January 2009	98 cents	VANOC	Tullis Russell Coatings	Richmond, BC
12 January 2009	$1.65	VANOC	Tullis Russell Coatings	Richmond, BC
12 January 2009	$1.18	VANOC	Tullis Russell Coatings	Richmond, BC
12 January 2009	Permanent (Domestic Rate)	Gottschalk + Ash International	Tullis Russell Coatings	Calgary, Alberta
2 April 2009	54 cents	Keith Martin	Tullis Russell Coatings	Saanich, British Columbia
9 April 2009	54 cents	Tilt Telmet, Wade Stewart	Tullis Russell Coatings	Eureka, Nunavut
22 April 2009	2 cents	Keith Martin	Tullis Russell Coatings	Leamington, Ontario
15 May 2009	54 cents	Wilco Design	Tullis Russell Coatings	Cap-Rouge, QC and Change Islands, NL
1 June 2009	54 cents	Parable Communications	Tullis Russell Coatings	Ottawa, ON
12 June 2009	54 cents	Paul Haslip	Tullis Russell Coatings	Cardston, AB
2 July 2009	54 cents	CIRCLE	Tullis Russell Coatings	Timmins, Ontario and Paquetville, NB
6 July 2009	54 cents	Bonnie Ross	Tullis Russell Coatings	Prince George, British Columbia
10 July 2009	54 cents	Karen Smith Design	Tullis Russell Coatings	Brigus, Newfoundland and Labrador
10 August 2009	54 cents	q30 design inc.	Tullis Russell Coatings	Guelph and =North Bay, Ontario
