Week	Date	Opponent	Result	Attendance
1	September 30, 1951	at Detroit Lions	L 35-17	27,831
2	October 7, 1951	New York Giants	L 35-14	23,800
3	October 14, 1951	at Cleveland Browns	L 45-0	33,968
4	October 21, 1951	Chicago Cardinals	W 7-3	22,960
5	October 28, 1951	at Philadelphia Eagles	W 27-23	20,437
6	November 4, 1951	Chicago Bears	L 27-0	21,737
7	November 11, 1951	at New York Giants	L 28-14	21,242
8	November 18, 1951	at Pittsburgh Steelers	W 22-7	15,060
9	November 25, 1951	Los Angeles Rams	W 31-21	26,307
10	December 2, 1951	Philadelphia Eagles	L 35-21	23,738
11	December 9, 1951	at Chicago Cardinals	W 20-17	9,459
12	December 16, 1951	Pittsburgh Steelers	L 20-10	18,096
