Game	February	Opponent	Score	Record	Points
49	3	Detroit Red Wings	5–4	15–26–8	38
50	5	@ Toronto Maple Leafs	3–1	16–26–8	40
51	6	St. Louis Blues	2–2	16–26–9	41
52	8	@ Vancouver Canucks	3–1	17–26–9	43
53	9	@ California Golden Seals	2–3	17–27–9	43
54	12	@ Minnesota North Stars	1–5	17–28–9	43
55	13	@ Buffalo Sabres	4–4	17–28–10	44
56	16	@ Chicago Black Hawks	3–3	17–28–11	45
57	17	Boston Bruins	1–4	17–29–11	45
58	19	@ Montreal Canadiens	1–3	17–30–11	45
59	20	Toronto Maple Leafs	3–1	18–30–11	47
60	23	@ New York Rangers	3–4	18–31–11	47
61	26	@ Pittsburgh Penguins	2–5	18–32–11	47
62	27	@ Detroit Red Wings	3–1	19–32–11	49
