Week	Date	Opponent	Result	Attendance
1	September 4, 1983	Seattle Seahawks	W 17–13	42,531
2	September 12, 1983	San Diego Chargers	L 17–14	62,150
3	September 18, 1983	at Washington Redskins	L 27–12	52,610
4	September 25, 1983	at Miami Dolphins	L 14–6	50,785
5	October 2, 1983	St. Louis Cardinals	W 38–14	58,975
6	October 9, 1983	at Los Angeles Raiders	L 21–20	40,492
7	October 16, 1983	New York Giants	W 38–17	55,449
8	October 23, 1983	at Houston Oilers	W 13–10	39,462
9	October 30, 1983	at Denver Broncos	L 27–24	74,640
10	November 6, 1983	Los Angeles Raiders	L 28–20	75,497
11	November 13, 1983	Cincinnati Bengals	W 20–15	44,711
12	November 20, 1983	at Dallas Cowboys	L 41–21	64,103
13	November 27, 1983	at Seattle Seahawks	L 51–48	56,793
14	December 4, 1983	Buffalo Bills	L 14–9	27,104
15	December 11, 1983	at San Diego Chargers	L 41–38	35,510
16	December 18, 1983	Denver Broncos	W 48–17	11,377
