Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Big 12	7	9–7	.563	5	4	0	0	0
Southeastern	6	9–6	.600	6	2	1	0	0
Atlantic Coast	6	6–6	.500	4	2	0	0	0
Big East	5	13–4	.765	5	2	2	2	1
Big Ten	5	7–5	.583	3	1	1	1	1
Pacific-10	4	4–4	.500	2	1	1	0	0
Missouri Valley	2	4–2	.667	1	1	1	1	0
Atlantic 10	2	3–2	.600	1	1	1	0	0
Mountain West	2	3–2	.600	2	1	0	0	0
Sun Belt	2	3–2	.600	1	1	1	0	0
Conference USA	2	0–2	.000	0	0	0	0	0
Metro Atlantic	2	0–2	.000	0	0	0	0	0
West Coast	1	1–1	.500	1	0	0	0	0
