Club	Total points	Bonus points	Match points	Games	Drawn	Lost	Points for	Points against	Diff
Club	Total points	Bonus points	Match points	Games	Drawn	Lost	Points for	Points against	Diff
Auch	110	8	102	30	1	4	727	418	+311
Dax	98	18	80	30	0	10	788	499	+289
La Rochelle	93	9	4	30	2	8	633	477	+150
Toulon	88	12	76	30	0	11	662	570	+92
Béziers	83	9	74	30	1	11	692	549	+143
Lyon OU	79	13	66	30	1	13	595	489	+106
Oyonnax	70	6	64	30	2	13	499	580	-81
Pau	68	16	52	30	0	17	617	625	-8
Mont-de-Marsan	61	11	50	30	1	17	555	662	-107
Gaillac	60	10	50	30	1	17	548	657	-109
Racing Métro	58	14	44	30	0	19	594	656	-62
Bordeaux-Bègles	58	10	48	30	0	18	480	583	-103
Tarbes	56	8	48	30	0	18	510	675	-165
Grenoble	55	11	44	30	2	18	506	600	-94
Limoges	54	10	44	30	0	19	614	776	-162
Colomiers	40	6	34	30	1	21	491	697	-206
