Week	Date	Opponent	Result	TV Time	Attendance
1	September 4, 1994	New England Patriots	W 39–35	NBC 4:15pm	71,023
2	September 11, 1994	at Green Bay Packers	W 24–14	NBC 1:00pm	55,011
3	September 18, 1994	New York Jets	W 28–14	NBC 1:00pm	68,977
4	September 25, 1994	at Minnesota Vikings	L 38–35	NBC 1:00pm	64,035
5	October 2, 1994	at Cincinnati Bengals	W 23–7	TNT 8:15pm	55,056
6	October 9, 1994	at Buffalo Bills	L 21–11	NBC 1:00pm	79,491
7	October 16, 1994	Los Angeles Raiders	W 20–17	NBC 1:00pm	70,112
8	Bye	Bye	Bye	Bye	Bye
9	October 30, 1994	at New England Patriots	W 23–3	NBC 4:15pm	59,167
10	November 6, 1994	Indianapolis Colts	W 22–21	NBC 1:00pm	71,158
11	November 13, 1994	Chicago Bears	L 17–14	FOX 1:00pm	64,871
12	November 20, 1994	at Pittsburgh Steelers	L 16–13	NBC 1:00pm	59,148
13	November 27, 1994	at New York Jets	W 28–24	NBC 4:15pm	75,606
14	December 4, 1994	Buffalo Bills	L 42–31	ESPN 8:15pm	69,538
15	December 12, 1994	Kansas City Chiefs	W 45–28	ABC 9:00pm	71,578
16	December 18, 1994	at Indianapolis Colts	L 10–6	NBC 1:00pm	58,867
17	December 25, 1994	Detroit Lions	W 27–20	ESPN 8:15pm	70,980
