Year	Western champion	Result	Eastern champion	Finals MVP
1999	Houston Comets	2–1	New York Liberty	Cynthia Cooper
2000	Houston Comets	2–0	New York Liberty	Cynthia Cooper
2001	Los Angeles Sparks	2–0	Charlotte Sting	Lisa Leslie
2002	Los Angeles Sparks	2–0	New York Liberty	Lisa Leslie
2003	Los Angeles Sparks	1–2	Detroit Shock	Ruth Riley
2004	Seattle Storm	2–1	Connecticut Sun	Betty Lennox
2005	Sacramento Monarchs	3–1	Connecticut Sun	Yolanda Griffith
2006	Sacramento Monarchs	2–3	Detroit Shock	Deanna Nolan
2007	Phoenix Mercury	3–2	Detroit Shock	Cappie Pondexter
2008	San Antonio Silver Stars	0–3	Detroit Shock	Katie Smith
2009	Phoenix Mercury	3–2	Indiana Fever	Diana Taurasi
2010	Seattle Storm	3–0	Atlanta Dream	Lauren Jackson
2011	Minnesota Lynx	3–0	Atlanta Dream	Seimone Augustus
2012	Minnesota Lynx	1–3	Indiana Fever	Tamika Catchings
2013	Minnesota Lynx	3–0	Atlanta Dream	Maya Moore
