Season	Trophy Winner	Air Force – Navy score	Air Force – Army score	Army – Navy score
1972	Army	21–17	17–14	23–15
1973	Navy	42–6	43–10	51–0
1974	Shared (Navy retained trophy)	19–16	17–16	19–0
1975	Navy	17–0	33–3	30–6
1976	Shared (Navy retained trophy)	13–3	24–7	38–10
1977	Army	10–7	31–6	17–14
1978	Navy	37–8	28–14	28–0
1979	Navy	13–9	28–7	31–7
1980	Shared (Navy retained trophy)	21–20	47–24	33–6
1981	Navy	30–13	7–3	3–3
1982	Air Force	24–21	27–9	24–7
1983	Air Force	44–17	41–20	42–13
1984	Army	29–22	24–12	28–11
1985	Air Force	24–7	45–7	17–7
1986	Army	40–6	21–11	27–7
1987	Air Force	23–13	27–10	17–3
1988	Army	34–24	28–15	20–15
1989	Air Force	35–7	29–3	19–17
1990	Air Force	24–7	15–3	30–20
1991	Air Force	46–6	25–0	24–3
1992	Air Force	18–16	7–3	25–24
1993	Shared (AF retained trophy)	28–24	25–6	16–14
1994	Air Force	43–21	10–6	22–20
1995	Air Force	30–20	38–20	14–13
1996	Army	20–17	23–7	28–24
1997	Air Force	10–7	24–0	39–7
1998	Air Force	49–7	35–7	34–30
1999	Air Force	19–14	28–0	19–9
2000	Air Force	27–13	41–27	30–28
2001	Air Force	24–18	34–24	26–17
2002	Air Force	48–7	49–30	58–12
2003	Navy	28–25	31–3	34–6
2004	Navy	24–21	31–22	42–13
2005	Navy	27–24	27–24	42–23
2006	Navy	24–17	43–7	26–14
2007	Navy	31–20	30–10	38–3
2008	Navy	33–27	16–7	34–0
2009	Navy	16–13 (OT)	35–7	17–3
2010	Air Force	14–6	42–22	31–17
2011	Air Force	35–34 (OT)	24–14	27–21
2012	Navy	28-21 (OT)	41-21	17-13
2014	TBD	4 Oct. 2014 at Air Force	1 Nov. 2014 at Army	13 Dec. 2014 at Baltimore, MD (M&T Bank Stadium)
2016	TBD	TBD	TBD	10 Dec. 2016 at Baltimore, MD (M&T Bank Stadium)
2018	TBD	TBD	TBD	8 Dec. 2018
