District	Incumbent	Party	Elected	Status	Result
Georgia's 1st	Jack Kingston	Republican	1992	Re-elected	Jack Kingston (R) 69% Joyce Marie Griggs (D) 31%
Georgia's 2nd	Sanford Bishop	Democratic	1992	Re-elected	Sanford Bishop (D) 53% Dylan Glenn (R) 47%
Georgia's 3rd	Mac Collins	Republican	1992	Re-elected	Mac Collins (R) 63% Gail Notti (D) 37%
Georgia's 4th	Cynthia McKinney	Democratic	1992	Re-elected	Cynthia McKinney (D) 60% Sunny Warren (R) 40%
Georgia's 5th	John Lewis	Democratic	1986	Re-elected	John Lewis (D) 77% Hank Schwab (R) 23%
Georgia's 6th	Johnny Isakson	Republican	1999	Re-elected	Johnny Isakson (R) 75% Brett Dehart (D) 25%
Georgia's 7th	Bob Barr	Republican	1994	Re-elected	Bob Barr (R) 54% Roger Kahn (D) 46%
Georgia's 8th	Saxby Chambliss	Republican	1994	Re-elected	Saxby Chambliss (R) 59% Jim Marshall (D) 41%
Georgia's 9th	Nathan Deal	Republican	1992	Re-elected	Nathan Deal (R) 75% James Harrington (D) 25%
Georgia's 10th	Charlie Norwood	Republican	1994	Re-elected	Charlie Norwood (R) 63% Marion Freeman (D) 37%
