Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	1978	Calcutta , India	Clay	Gilles Moretton	Sashi Menon Sherwood Stewart	6–7, 4–6
Winner	1981	Nice , France	Clay	Pascal Portes	Chris Lewis Pavel Složil	4–6, 6–3, 6–4
Winner	1981	Paris , France	Hard (i)	Ilie Năstase	Andrew Jarrett Jonathan Smith	6–4, 6–4
Winner	1982	Nice , France	Clay	Henri Leconte	Paul McNamee Balázs Taróczy	5–7, 6–4, 6–3
Winner	1982	Basel , Switzerland	Hard (i)	Henri Leconte	Fritz Buehning Pavel Složil	6–2, 6–2
Runner-up	1982	Toulouse , France	Hard (i)	Jean-Louis Haillet	Pavel Složil Tomáš Šmíd	4–6, 4–6
Runner-up	1983	Monte Carlo , Monaco	Clay	Henri Leconte	Heinz Günthardt Balázs Taróczy	2–6, 4–6
Runner-up	1984	Philadelphia , U.S.	Carpet	Henri Leconte	Peter Fleming John McEnroe	2–6, 3–6
Winner	1984	French Open, Paris	Clay	Henri Leconte	Pavel Složil Tomáš Šmíd	6–4, 2–6, 3–6, 6–3, 6–2
Winner	1985	Chicago , U.S.	Carpet	Johan Kriek	Ken Flach Robert Seguso	3–6, 4–6, 7–5, 6–1, 6–4
Runner-up	1985	U.S. Open , New York	Hard	Henri Leconte	Ken Flach Robert Seguso	7–6, 6–7, 6–7, 0–6
Runner-up	1986	La Quinta , U.S.	Hard	Sherwood Stewart	Guy Forget Peter Fleming	4–6, 3–6
Winner	1986	Monte Carlo , Monaco	Clay	Guy Forget	Joakim Nyström Mats Wilander	6–4, 3–6, 6–4
Winner	1986	Rome , Italy	Clay	Guy Forget	Mark Edmondson Sherwood Stewart	7–6, 6–2
Winner	1986	Basel , Switzerland	Hard (i)	Guy Forget	Jan Gunnarsson Tomáš Šmíd	7–6, 6–4
Runner-up	1986	Masters Doubles , London	Carpet	Guy Forget	Stefan Edberg Anders Järryd	3–6, 6–7, 3–6
Winner	1987	Lyon , France	Carpet	Guy Forget	Kelly Jones David Pate	4–6, 6–3, 6–4
Winner	1987	Indian Wells , U.S.	Hard	Guy Forget	Boris Becker Eric Jelen	6–4, 7–6
Winner	1987	Forest Hills , U.S.	Clay	Guy Forget	Gary Donnelly Peter Fleming	4–6, 6–4, 6–1
Winner	1987	Rome , Italy	Clay	Guy Forget	Miloslav Mečíř Tomáš Šmíd	6–2, 6–7, 6–3
Runner-up	1987	French Open, Paris	Clay	Guy Forget	Anders Järryd Robert Seguso	7–6, 7–6, 3–6, 4–6, 2–6
Winner	1987	London/Queen's Club , England	Grass	Guy Forget	Rick Leach Tim Pawsat	6–4, 6–4
Winner	1988	Orlando , U.S.	Hard	Guy Forget	Sherwood Stewart Kim Warwick	6–4, 6–4
Winner	1990	Nice , France	Clay	Alberto Mancini	Marcelo Filippini Horst Skoff	6–4, 7–6
Runner-up	1990	Bordeaux , France	Clay	Mansour Bahrami	Tomás Carbonell Libor Pimek	3–6, 7–6, 2–6
