Date	Visitor	Score	Home	Leading scorer	Attendance	Record
12/2	Golden State Warriors	109–96	Seattle SuperSonics	Stephen Jackson & Al Harrington	11,461	9–7
12/3	Orlando Magic	117–123	Golden State Warriors	Stephen Jackson	18,527	9–8
12/5	Milwaukee Bucks	120–90	Golden State Warriors	Stephen Jackson & Baron Davis	17,823	10–8
12/7	Miami Heat	120–113	Golden State Warriors	Stephen Jackson	19,596	11–8
12/9	Golden State Warriors	113–123	Los Angeles Lakers	Baron Davis	18,997	11–9
12/11	San Antonio Spurs	96–84	Golden State Warriors	Stephen Jackson	19,827	12–9
12/12	Golden State Warriors	95–105	Portland Trail Blazers	Baron Davis	15,943	12–10
12/14	Los Angeles Lakers	108–106	Golden State Warriors	Al Harrington & Baron Davis	20,705	13–10
12/16	Golden State Warriors	87–109	Detroit Pistons	Matt Barnes	22,076	13–11
12/17	Golden State Warriors	125–117	Memphis Grizzlies	Stephen Jackson	10,549	14–11
12/19	Golden State Warriors	111–98	Minnesota Timberwolves	Al Harrington	13,001	15–11
12/22	Golden State Warriors	95–100	New Jersey Nets	Stephen Jackson	15,032	15–12
12/23	Golden State Warriors	105–96	Cleveland Cavaliers	Stephen Jackson	20,562	16–12
12/26	Minnesota Timberwolves	105–101	Golden State Warriors	Monta Ellis	19,596	17–12
12/28	Denver Nuggets	120–124	Golden State Warriors	Stephen Jackson	20,001	17–13
12/30	Golden State Warriors	105–95	Denver Nuggets	Baron Davis	19,362	18–13
12/31	Golden State Warriors	112–95	Houston Rockets	Baron Davis	18,153	19–13
