Game	Date	Opponent	Result	Dolphins points	Opponents	Record	Attendance
1	Sept. 15	at New England Patriots	Loss	24	34	0–1	55,006
2	Sept. 22	at Buffalo Bills	Win	24	16	1–1	80,020
3	Sept. 29	at San Diego Chargers	Win	28	21	2–1	44,706
4	Oct. 7	New York Jets	Win	21	17	3–1	60,727
5	Oct. 13	at Washington Redskins	Loss	17	20	3–2	54,395
6	Oct. 20	Kansas City Chiefs	Win	9	3	4–2	67,779
7	Oct. 27	Baltimore Colts	Win	17	7	5–2	65,868
8	Nov. 3	Atlanta Falcons	Win	42	7	6–2	64,399
9	Nov. 10	at New Orleans Saints	Win	21	0	7–2	74,289
10	Nov. 17	Buffalo Bills	Win	35	28	8–2	69,313
11	Nov. 24	at New York Jets	Loss	14	17	8–3	57,162
12	Dec. 2	Cincinnati Bengals	Win	24	3	9–3	71,962
13	Dec. 8	at Baltimore Colts	Win	17	16	10–3	34,420
14	Dec. 15	New England Patriots	Win	34	27	11–3	56,920
