Round	Location	Circuit	Date	Winning Driver	Winning Team
1	Sepang , Malaysia	Sepang International Circuit	May 5–6	Marchy Lee	Super Champ Racing
2	Sepang , Malaysia	Sepang International Circuit	May 5–6	Seth Ingham	CT Motorsport
3	Sepang , Malaysia	Sepang International Circuit	June 23–24	Armaan Ebrahim	Team TARADTM
4	Sepang , Malaysia	Sepang International Circuit	June 23–24	Armaan Ebrahim	Team TARADTM
5	Sentul , Indonesia	Sentul International Circuit	July 21–22	Aaron Lim	CT Motorsport
6	Sentul , Indonesia	Sentul International Circuit	July 21–22	Armaan Ebrahim	Team TARADTM
7	Chengdu , China	Chengdu Goldenport Circuit	September 15–16	James Winslow	Team Meritus
8	Chengdu , China	Chengdu Goldenport Circuit	September 15–16	James Winslow	Team Meritus
9	Kamitsue , Japan	Autopolis Circuit	October 13–14	James Winslow	Team Meritus
10	Kamitsue , Japan	Autopolis Circuit	October 13–14	Armaan Ebrahim	Team TARADTM
11	Zhuhai , China	Zhuhai International Circuit	November 3–4	Hiroki Yoshimoto	Team Meritus
12	Zhuhai , China	Zhuhai International Circuit	November 3–4	Armaan Ebrahim	Team TARADTM
