District	s Barangay	Population (2010 census)	Area ( has .)	Pop. density (per km2)
Binondo	10	12985	66.11	19,641.5
Ermita	13	7143	158.91	4,495.0
Intramuros	5	4925	67.26	7,322.3
Malate	57	77513	259.58	29,860.9
Paco	43	70978	278.69	25,468.4
Pandacan	38	73895	166.00	44,515.1
Port Area	5	57405	315.28	18,207.6
Quiapo	16	24886	84.69	29,384.8
Sampaloc	192	241528	513.71	47,016.4
San Andrés	65	115942	168.02	69,004.9
San Miguel	12	15992	91.37	17,502.5
San Nicolas	15	44241	163.85	27,000.9
Santa Ana	34	60952	169.42	35,976.9
Santa Cruz	82	115747	309.01	37,457.4
Santa Mesa	51	99933	261.01	38,287.0
