Year	Name of Tournament	Champions	Runners-up	Score
1978	Seiko World Super Tennis	Björn Borg	Brian Teacher	6–3, 6–4
1979	Seiko World Super Tennis	Björn Borg	Jimmy Connors	6–2, 6–2
1980	Seiko World Super Tennis	Jimmy Connors	Tom Gullikson	6–1, 6–2
1981	Seiko World Super Tennis	Vincent Van Patten	Mark Edmondson	6–2, 3–6, 6–3
1982	Seiko World Super Tennis	John McEnroe	Peter McNamara	7–6, 7–5
1983	Seiko World Super Tennis	Ivan Lendl	Scott Davis	3–6, 6–3, 6–4
1984	Seiko Super Tennis	Jimmy Connors	Ivan Lendl	6–4, 3–6, 6–0
1985	Seiko Super Tennis	Ivan Lendl	Mats Wilander	6–0, 6–4
1986	Seiko Super Tennis	Boris Becker	Stefan Edberg	7–6, 6–1
1987	Seiko Super Tennis	Stefan Edberg	Ivan Lendl	6–7, 6–4, 6–4
1988	Seiko Super Tennis	Boris Becker	John Fitzgerald	7–6, 6–4
1989	Seiko Super Tennis	Aaron Krickstein	Carl-Uwe Steeb	6–2, 6–2
1990	Seiko Super Tennis	Ivan Lendl	Boris Becker	4–6, 6–3, 7–6
1991	Seiko Super Tennis	Stefan Edberg	Derrick Rostagno	6–3, 1–6, 6–2
1992	SEIKO Super Tennis	Ivan Lendl	Henrik Holm	7–6, 6–4
1993	SEIKO Super Tennis	Ivan Lendl	Todd Martin	6–4, 6–4
1994	SEIKO Super Tennis	Goran Ivanišević	Michael Chang	6–4, 6–4
1995	SEIKO Super Tennis	Michael Chang	Mark Philippoussis	6–3, 6–4
