Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	22–2	Ryan Bader	TKO (punches)	UFC Fight Night: Teixeira vs. Bader	1	2:55	Belo Horizonte , Minas Gerais , Brazil
Win	21–2	James Te Huna	Submission (guillotine choke)	UFC 160	1	2:38	Las Vegas, Nevada , United States
Win	20–2	Quinton Jackson	Decision (unanimous)	UFC on Fox: Johnson vs. Dodson	3	5:00	Chicago, Illinois , United States
Win	19–2	Fábio Maldonado	TKO (doctor stoppage)	UFC 153	2	5:00	Rio de Janeiro , Rio de Janeiro, Brazil
Win	18–2	Kyle Kingsbury	Submission (arm triangle choke)	UFC 146	1	1:53	Las Vegas, Nevada , United States
Win	17–2	Ricco Rodriguez	Submission (punches)	MMA Against Dengue	1	1:58	Rio de Janeiro , Rio de Janeiro, Brazil
Win	16–2	Marvin Eastman	KO (punch)	Shooto Brasil: Fight for BOPE	1	4:00	Rio de Janeiro , Rio de Janeiro, Brazil
Win	15–2	Antonio Mendes	Submission (rear naked choke)	Shooto Brazil 24	1	4:06	Brasília , Distrito Federal, Brazil
Win	14–2	Márcio Cruz	TKO (punches)	Fight Club 1: Brazilian Stars	2	4:21	Rio de Janeiro , Rio de Janeiro, Brazil
Win	13–2	Simão Melo	KO (punches)	Shooto Brazil 23	1	1:49	Rio de Janeiro , Rio de Janeiro, Brazil
Win	12–2	Daniel Tabera	Decision (unanimous)	Bitetti Combat 8: 100 Years of Corinthians	3	5:00	São Paulo , Brazil
Win	11–2	Marko Peselj	TKO (punches)	Impact FC 2	1	3:01	Sydney , New South Wales, Australia
Win	10–2	Tiago Tosato	KO (punches)	Bitetti Combat MMA 7	1	1:27	Rio de Janeiro , Rio de Janeiro, Brazil
Win	9–2	Joaquim Ferreira	TKO (corner stoppage)	Bitetti Combat MMA 6	2	1:30	Brasília , Distrito Federal, Brazil
Win	8–2	Leonardo Lucio Nascimento	Technical Submission (guillotine choke)	Bitetti Combat MMA 4	1	3:11	Rio de Janeiro , Brazil
Win	7–2	Buckley Acosta	KO (punches)	Palace Fighting Championships 7	1	1:00	Lemoore, California , United States
Win	6–2	Jorge Oliveira	KO (punches)	PFC 6: No Retreat, No Surrender	1	0:05	Lemoore, California , United States
Win	5–2	Rameau Thierry Sokoudjou	KO (punches)	WEC 24	1	1:41	Lemoore, California , United States
Win	4–2	Jack Morrison	Submission (rear naked choke)	WEC 22	1	1:27	Lemoore, California , United States
Win	3–2	Carlton Jones	KO (punches)	WEC 20	1	1:57	Lemoore, California , United States
Loss	2–2	Ed Herman	Decision (unanimous)	SF 9: Respect	3	5:00	Gresham, Oregon , United States
Win	2–1	Justin Ellison	TKO (punches)	SF 5: Stadium	1	N/A	Gresham, Oregon , United States
Win	1–1	Matt Horwich	Decision (unanimous)	SF 3: Dome	3	5:00	Gresham, Oregon , United States
Loss	0–1	Eric Schwartz	TKO (punches & elbows)	WEC 3	2	3:33	Lemoore, California , United States
