Goal	Date	Venue	Score	Result	Competition
1.	19 October 1988	Lansdowne Road , Dublin , Ireland	3–0	4–0	Friendly
2.	15 November 1989	Ta' Qali National Stadium , Attard , Malta	1–0	2–0	1990 World Cup Qual.
3.	15 November 1989	Ta' Qali National Stadium , Attard , Malta	2–0	2–0	1990 World Cup Qual.
4.	17 October 1990	Lansdowne Road, Dublin, Ireland	1–0	5–0	Euro 1992 Qual.
5.	17 October 1990	Lansdowne Road, Dublin, Ireland	3–0	5–0	Euro 1992 Qual.
6.	17 October 1990	Lansdowne Road, Dublin, Ireland	5–0	5–0	Euro 1992 Qual.
7.	25 March 1992	Lansdowne Road, Dublin, Ireland	2–1	2–1	Friendly
8.	26 May 1992	Lansdowne Road, Dublin, Ireland	1–0	2–0	1994 World Cup Qual.
9.	9 September 1992	Lansdowne Road, Dublin, Ireland	2–0	4–0	1994 World Cup Qual.
10.	9 September 1992	Lansdowne Road, Dublin, Ireland	3–0	4–0	1994 World Cup Qual.
11.	9 September 1992	Lansdowne Road, Dublin, Ireland	4–0	4–0	1994 World Cup Qual.
12.	9 June 1993	Daugava Stadium , Riga , Latvia	1–0	2–0	1994 World Cup Qual.
13.	8 September 1993	Lansdowne Road, Dublin, Ireland	1–0	2–0	1994 World Cup Qual.
14.	24 June 1994	Citrus Bowl , Orlando , United States	1–2	1–2	World Cup 1994
15.	7 September 1994	Daugava Stadium, Riga, Latvia	1–0	3–0	Euro 1996 Qual.
16.	7 September 1994	Daugava Stadium, Riga, Latvia	3–0	3–0	Euro 1996 Qual.
17.	16 November 1994	Windsor Park , Belfast , Northern Ireland	1–0	4–0	Euro 1996 Qual.
18.	11 October 1995	Lansdowne Road, Dublin, Ireland	1–0	2–0	Euro 1996 Qual.
19.	11 October 1995	Lansdowne Road, Dublin, Ireland	2–0	2–0	Euro 1996 Qual.
