Match	Date	Competition or tour	Ground	Opponent	Score1
1	23 August 2008	Premier Academy League	H	Manchester United Under 18s	0 - 0
2	30 August 2008	Premier Academy League	A	Leeds United Under 18s	2 - 2
3	6 September 2008	Premier Academy League	H	Reading Under 18s	1 - 1
4	13 September 2008	Premier Academy League	H	Aston Villa Under 18s	3 - 0
5	20 September 2008	Premier Academy League	A	Birmingham Under 18s	0 - 2
6	27 September 2008	Premier Academy League	H	Arsenal Under 18s	1 - 2
7	4 October 2008	Premier Academy League	A	Portsmouth Under 18s	0 - 2
8	11 October 2008	Premier Academy League	H	Crystal Palace Under 18s	0 - 0
9	18 October 2008	Premier Academy League	H	Chelsea Under 18s	2 - 4
10	1 November 2008	Premier Academy League	A	Southampton Under 18s	6 - 1
11	8 November 2008	Premier Academy League	H	Ipswich Under 18s	2 - 4
12	16 November 2008	Premier Academy League	A	Charlton Athletic F.C. Under 18s	1 - 2
13	22 November 2008	Premier Academy League	A	Fulham Under 18s	2 - 0
14	2 December 2008	FA Youth Cup 3rd round	A	Nottingham Forest Under 18s	1 - 3
