Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Burscough	38	7	5	93	45	+48	59
2	Rhyl	38	11	4	76	30	+46	57
3	Horwich RMI	38	10	6	77	35	+42	54
4	Stalybridge Celtic	38	15	6	60	32	+28	49
5	Winsford United	38	10	10	72	48	+24	46
6	Darwen	38	12	9	68	46	+22	46
7	Lancaster City	38	11	10	69	54	+15	45
8	Congleton Town	38	14	11	52	35	+17	40
9	Penrith	38	6	15	68	61	+7	40
10	Accrington Stanley	38	12	13	56	55	+1	38
11	Leek Town	38	9	15	42	44	−2	37
12	Curzon Ashton	38	8	16	46	47	−1	36
13	Ashton United	38	10	15	55	69	−14	36
14	Bootle	38	6	18	55	79	−24	32 2
15	Prescot Cables	38	13	16	50	60	−10	31
16	Formby	38	8	20	48	68	−20	28
17	Leyland Motors	38	10	21	34	74	−40	24
18	Glossop	38	11	21	29	67	−38	23
19	St Helens Town	38	10	23	29	80	−51	20
20	Nantwich Town	38	5	27	43	93	−50	17
