Year	Title	US 100	US AC	Lead singer	Album	Label and cat#
July 1969	" Questions 67 and 68 "	71	—	Cetera / Lamm	The Chicago Transit Authority	Columbia 44909
Oct. 1969	" Beginnings "	—	—	Lamm	The Chicago Transit Authority	Columbia 45011
March 1970	" Make Me Smile "	9	—	Kath	Chicago II	Columbia 45127
June 1970	" 25 or 6 to 4 "	4	—	Cetera	Chicago II	Columbia 45194
Oct. 1970	" Does Anybody Really Know What Time It Is? "	7	5	Lamm	The Chicago Transit Authority	Columbia 45264
Feb. 1971	" Free "	20	—	Kath	Chicago III	Columbia 45331
April 1971	" Lowdown "	35	—	Cetera	Chicago III	Columbia 45370
June 1971	"Beginnings"/ (A-Side)	7	1	Lamm	The Chicago Transit Authority	Columbia 45417
June 1971	→ "Colour My World" (B-Side)	7	—	Kath	Chicago II	Columbia 45417
Sept. 1971	"Questions 67 and 68"/ (A-Side)	24	—	Cetera/Lamm	The Chicago Transit Authority	Columbia 45467
Sept. 1971	→ / " I'm a Man " (B-Side)	49	—	Kath/Cetera/Lamm	The Chicago Transit Authority	Columbia 45467
July 1972	" Saturday in the Park "	3	—	Lamm/Cetera	Chicago V	Columbia 45657
Oct. 1972	" Dialogue (Part I & II) "	24	—	Cetera/Kath	Chicago V	Columbia 45717
June 1973	" Feelin' Stronger Every Day "	10	—	Cetera	Chicago VI	Columbia 45880
Sept. 1973	" Just You 'n' Me "	4	7	Cetera	Chicago VI	Columbia 45933
Feb. 1974	" (I've Been) Searchin' So Long "	9	—	Cetera	Chicago VII	Columbia 46020
June 1974	" Call on Me "	6	1	Cetera	Chicago VII	Columbia 46062
Oct. 1974	" Wishing You Were Here "	11	1	Kath/Cetera	Chicago VII	Columbia 10049
Feb. 1975	" Harry Truman "	13	—	Lamm	Chicago VIII	Columbia 10092
April 1975	" Old Days "	5	3	Cetera	Chicago VIII	Columbia 10131
Aug. 1975	" Brand New Love Affair (Part I and II) "	61	—	Kath/Cetera	Chicago VIII	Columbia 10200
June 1976	" Another Rainy Day in New York City "	32	2	Cetera	Chicago X	Columbia 10360
July 1976	" If You Leave Me Now "	1	1	Cetera	Chicago X	Columbia 10390
March 1977	"You Are on My Mind"	49	—	Pankow	Chicago X	Columbia 10523
Sept. 1977	" Baby, What a Big Surprise "	4	—	Cetera	Chicago XI	Columbia 10620
Jan. 1978	"Little One"	44	—	Kath	Chicago XI	Columbia 10683
May 1978	"Take Me Back to Chicago"	63	—	Lamm	Chicago XI	Columbia 10737
Oct. 1978	" Alive Again "	14	—	Cetera/ Dacus	Hot Streets	Columbia 10845
Dec. 1978	" No Tell Lover "	14	5	Cetera/Dacus	Hot Streets	Columbia 10879
