Date	Opponent#	Site	Result	Attendance
September 25	Indiana	Ohio Stadium • Columbus, OH	W28-0	72,703
October 2	18 California	Ohio Stadium • Columbus, OH	W21-13	79,524
October 9	at Illinois	Memorial Stadium • Champaign, IL	W40-7	69,567
October 16	13 Iowa	Ohio Stadium • Columbus, OH	W20-14	82,141
October 23	2 Wisconsin	Ohio Stadium • Columbus, OH	W31-14	82,636
October 30	at Northwestern	Dyche Stadium • Evanston, IL	W14-7	41,650
November 6	20 Pittsburgh	Ohio Stadium • Columbus, OH	W26-0	80,886
November 13	at Purdue	Ross-Ade Stadium • West Lafayette, IN	W28-6	51,000
November 20	12 Michigan	Ohio Stadium • Columbus, OH	W21-7	78,447
January 1	vs. 17 USC	Rose Bowl • Pasadena, CA ( Rose Bowl )	W20-7	89,191
*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .
