City	Chinese	Pinyin	County	Population (2010)
New Taipei	新北	Xīnběi	Special municipality	3,903,745
Kaohsiung	高雄	Gāoxióng	Special municipality	2,772,461
Taichung	臺中	Táizhōng	Special municipality	2,655,456
Taipei	臺北	Táiběi	Special municipality	2,635,766
Tainan	臺南	Táinán	Special municipality	1,874,724
Hsinchu	新竹	Xīnzhú	Provincial city	417,335
Taoyuan	桃園	Táoyuán	Taoyuan	408,304
Keelung	基隆	Jīlóng	Provincial city	381,770
Zhongli	中壢	Zhōnglì	Taoyuan	370,779
Chiayi	嘉義	Jiāyì	Provincial city	272,128
Changhua	彰化	Zhānghuà	Changhua	236,447
Pingtung	屏東	Píngdōng	Pingtung	210,275
Pingzhen	平鎮	Píngzhèn	Taoyuan	207,953
Bade	八德	Bādé	Taoyuan	177,020
Yangmei	楊梅	Yángméi	Taoyuan	151,384
