Week	Date	Opponent	Result	Attendance
1	September 3, 1978	Los Angeles Rams	L 16–14	64,721
2	September 10, 1978	at Washington Redskins	L 35–30	54,380
3	September 17, 1978	at New Orleans Saints	W 24–17	49,242
4	September 24, 1978	Miami Dolphins	W 17–3	62,998
5	October 1, 1978	at Baltimore Colts	W 17–14	50,314
6	October 8, 1978	at New England Patriots	L 24–14	61,016
7	October 15, 1978	Washington Redskins	W 17–10	65,722
8	October 22, 1978	at Dallas Cowboys	L 14–7	60,525
9	October 29, 1978	St. Louis Cardinals	L 16–10	62,989
10	November 5, 1978	Green Bay Packers	W 10–3	64,214
11	November 12, 1978	New York Jets	W 17–9	60,249
12	November 19, 1978	at New York Giants	W 19–17	70,318
13	November 26, 1978	at St. Louis Cardinals	W 14–10	39,693
14	December 3, 1978	at Minnesota Vikings	L 28–27	38,722
15	December 10, 1978	Dallas Cowboys	L 31–13	64,667
16	December 17, 1978	New York Giants	W 20–3	56,396
