Channel	Play-by-play	Color commentator(s)	Studio host	Studio analysts
KCAL-TV	Chick Hearn	Stu Lantz	Alan Massengale	James Worthy
Fox Sports Net West	Chick Hearn	Stu Lantz	Paul Sunderland	Jack Haley
KCAL-TV	Paul Sunderland	Stu Lantz	Alan Massengale	James Worthy
Fox Sports Net West	Paul Sunderland	Stu Lantz	Bill Macdonald	Jack Haley or Reggie Theus
FSN West	Paul Sunderland	Stu Lantz	Bill Macdonald	Jack Haley
KCAL-TV	Joel Meyers	Stu Lantz	Alan Massengale	James Worthy
FSN West	Joel Meyers	Stu Lantz	Bill Macdonald	Jack Haley
FSN West	Joel Meyers	Stu Lantz	Bill Macdonald	Jack Haley or Paul Westphal
KCAL-TV	Joel Meyers	Stu Lantz	Jim Hill	James Worthy
Fox Sports West	Joel Meyers	Stu Lantz	Bill Macdonald	Norm Nixon or Paul Westphal
Fox Sports West	Joel Meyers	Stu Lantz	Bill Macdonald	Norm Nixon
