Date	Visitor	Score	Home	Record
December 15	Ottawa Senators	3–2	Hamilton Tigers	1–0–0
December 19	Toronto St. Pats	2–5	Ottawa Senators	2–0–0
December 26	Montreal Canadiens	2–3	Ottawa Senators	3–0–0
December 29	Hamilton Tigers	3–2	Ottawa Senators	3–1–0
January 2	Ottawa Senators	4–3	Toronto St. Pats	4–1–0
January 5	Toronto St. Pats	3–7	Ottawa Senators	5–1–0
January 9	Montreal Canadiens	1–2	Ottawa Senators	6–1–0
January 12	Ottawa Senators	3–2	Hamilton Tigers	7–1–0
January 16	Ottawa Senators	1–2	Montreal Canadiens	7–2–0
January 19	Hamilton Tigers	1–2	Ottawa Senators	8–2–0
January 21	Ottawa Senators	3–2	Montreal Canadiens	9–2–0
January 23	Ottawa Senators	5–1	Toronto St. Pats	10–2–0
January 26	Ottawa Senators	1–5	Hamilton Tigers	10–3–0
January 30	Toronto St. Pats	2–7	Ottawa Senators	11–3–0
February 2	Ottawa Senators	0–1	Montreal Canadiens	11–4–0
February 6	Montreal Canadiens	0–4	Ottawa Senators	12–4–0
February 9	Hamilton Tigers	0–1	Ottawa Senators	13–4–0
February 13	Ottawa Senators	2–4	Toronto St. Pats	13–5–0
February 16	Toronto St. Pats	2–1	Ottawa Senators	13–6–0
February 21	Ottawa Senators	0–3	Montreal Canadiens	13–7–0
February 23	Montreal Canadiens	0–1	Ottawa Senators	14–7–0
February 27	Hamilton Tigers	4–7	Ottawa Senators	15–7–0
March 1	Ottawa Senators	2–5	Hamilton Tigers	15–8–0
March 5	Ottawa Senators	8–4	Toronto St. Pats	16–8–0
