No. in series	Title	Directed by	Written by	Original air date	U.S. Viewers (millions)
1	"Pilot"	James Hayman	Josh Berman	July12,2009	2.8
2	"The F Word"	Ron Underwood	Carla Kettner & Josh Berman	July19,2009	2.46
3	"Do Over"	Michael Lange	Alex Taub	July26,2009	2.80
4	" The Chinese Wall "	Lawrence Trilling	Thania St. John	August2,2009	N/A
5	"Lost and Found"	David Petrarca	Jeanette Collins & Mimi Friedman	August9,2009	2.44
6	"Second Chances"	Michael Schultz	Jeffrey Lippman	August16,2009	3.06
7	"The Magic Bullet"	Jamie Babbit	Shawn Schepps	August23,2009	2.90
8	"Crazy"	Melanie Mayron	Maurissa Tancharoen	August30,2009	3.41
9	"The Dress"	David Petrarca	Josh Berman	September13,2009	3.08
10	"Make Me a Match"	Matt Hastings	Thania St. John	September20,2009	3.06
11	"What If"	Bethany Rooney	Jeanette Collins & Mimi Friedman	September27,2009	N/A
12	"Dead Model Walking"	Ron Underwood	Amy Engelberg & Wendy Engelberg	October4,2009	N/A
