Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1995	Venturi Automobiles	Paul Belmondo Arnaud Trévisiol	GT1	193	NC	NC
1996	Ennea SRL Igol	Éric Bernard Paul Belmondo	GT1	40	DNF	DNF
1997	Gulf Team Davidoff GTC Racing	Pierre-Henri Raphanel Anders Olofsson	GT1	360	2nd	1st
1998	AMG-Mercedes	Ricardo Zonta Christophe Bouchut	GT1	31	DNF	DNF
2000	Thomas Bscher Promotion David Price Racing	Thomas Bscher Geoff Lees	LMP900	180	DNF	DNF
2003	Courage Compétition	Jonathan Cochet Stéphan Grégoire	LMP900	360	7th	5th
2004	Courage Compétition	Alexander Frei Sam Hancock	LMP2	127	DNF	DNF
2005	Audi PlayStation Team Oreca	Franck Montagny Stéphane Ortelli	LMP1	362	4th	4th
2006	Courage Compétition	Shinji Nakano Haruki Kurosawa	LMP1	35	DNF	DNF
2007	Courage Compétition	Guillaume Moreau Stefan Johansson	LMP1	175	DNF	DNF
2008	Epsilon Euskadi	Shinji Nakano Stefan Johansson	LMP2	158	DNF	DNF
