Rank	Nation	Gold	Silver	Bronze	Total
1	Soviet Union	10	4	4	18
2	Japan	4	2	3	9
3	France	3	1	1	5
4	Cuba	3	0	1	4
5	Bulgaria	1	7	2	10
6	United States	1	5	1	7
7	Sweden	1	2	0	3
8	Hungary	1	1	1	3
9	West Germany	1	1	0	2
10	Norway	1	0	4	5
11	Iran	1	0	2	3
12	Czechoslovakia	1	0	1	2
13	East Germany	1	0	0	1
14	Chinese Taipei	0	2	2	4
15	Greece	0	1	1	2
16	Finland	0	1	0	1
16	South Korea	0	1	0	1
16	Venezuela	0	1	0	1
19	Yugoslavia	0	0	2	2
20	Argentina	0	0	1	1
20	Mongolia	0	0	1	1
20	Poland	0	0	1	1
20	Turkey	0	0	1	1
Total	Total	29	29	29	87
