Year	Entrant	Chassis	Engine	Points
1950	Blue Crown Spark Plug / Moore	Kurtis Kraft 2000	Offenhauser L4	1
1951	oil Mobil / Rotary Engineering	Deidt Tuffanelli Derrico	Offenhauser L4	0
1952	Blue Crown Spark Plug / Earl Slick	Deidt Tuffanelli Derrico	Offenhauser L4	0
1953	J.C. Agajanian	Kuzma	Offenhauser L4	0
1954	Automobile Shippers / Casaroll	Kurtis Kraft 4000	Offenhauser L4	0
1955	H.A. Chapman	Kurtis Kraft 500C	Offenhauser L4	3
1956	Belanger Motors	Kurtis Kraft 500C	Offenhauser L4	0
1957	Novi Racing	Kurtis Kraft 500F	Novi V8	0
1958	Jones & Maley Cars	Epperly Indy Roadster	Offenhauser L4	4
1959	Hoover Motor Express	Epperly Indy Roadster	Offenhauser L4	3
1960	Lindsey Hopkins	Watson Indy Roadster	Offenhauser L4	0
