Place	Player	Country	Score	To par	Money ( $ )
1	David Graham	Australia	68-68-70-67=273	–7	55,000
T2	George Burns	United States	69-66-68-73=276	–4	24,650
T2	Bill Rogers	United States	70-68-69-69=276	–4	24,650
T4	John Cook	United States	68-70-71-70=279	–1	16,200
T4	John Schroeder	United States	71-68-69-71=279	–1	16,200
T6	Frank Conner	United States	71-72-69-68=280	E	9,920
T6	Lon Hinkle	United States	69-71-70-70=280	E	9,920
T6	Jack Nicklaus	United States	69-68-71-72=280	E	9,920
T6	Sammy Rachels	United States	70-71-69-70=280	E	9,920
T6	Chi-Chi Rodríguez	United States	68-73-67-72=280	E	9,920
