Place	Player	Country	Score	To par	Money ( $ )
1	Jim Furyk	United States	67-66-67-72=272	–8	1,080,000
2	Stephen Leaney	Australia	67-68-68-72=275	–5	650,000
T3	Kenny Perry	United States	72-71-69-67=279	–1	341,367
T3	Mike Weir	Canada	73-67-68-71=279	–1	341,367
T5	Ernie Els	South Africa	69-70-69-72=280	E	185,934
T5	Fredrik Jacobson	Sweden	69-67-73-71=280	E	185,934
T5	Nick Price	Zimbabwe	71-65-69-75=280	E	185,934
T5	Justin Rose	England	70-71-70-69=280	E	185,934
T5	David Toms	United States	72-67-70-71=280	E	185,934
T10	Pádraig Harrington	Ireland	69-72-72-68=281	+1	124,936
T10	Jonathan Kaye	United States	70-70-72-69=281	+1	124,936
T10	Cliff Kresge	United States	69-70-72-70=281	+1	124,936
T10	Billy Mayfair	United States	69-71-67-74=281	+1	124,936
T10	Scott Verplank	United States	76-67-68-70=281	+1	124,936
