Departure	Going to	Calling at	Arrival	Operator
03.54	Peterborough East	Peterborough East	04.05	LNWR
08.29	Peterborough North	Castor, Overton, Peterborough North	08.48	GNR
08.40	Peterborough East	Castor, Overton, Peterborough East	09.04	LNWR
10.19	Peterborough East	Castor, Peterborough East	10.37	LNWR
10.50	Peterborough East	Overton, Peterborough East	11.05	LNWR
11.47	Peterborough North	Castor, Overton, Peterborough North	12.06	GNR
12.28	Peterborough East	Peterborough East	12.40	LNWR
13.52	Peterborough East	Castor, Overton, Peterborough East	14.12	LNWR
14.49	Peterborough East	Overton, Peterborough East	15.05	LNWR
16.16	Peterborough East	Castor, Overton, Peterborough East	16.33	LNWR
17.30	Peterborough North	Castor, Peterborough North	17.46	GNR
19.37	Peterborough East	Castor, Overton, Peterborough East	19.58	LNWR
22.01	Peterborough East	Peterborough East	22.15	LNWR
