Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	15 July 2007	Bogotá , Colombia	Clay	Carlos Salamanca	6–4, 3–6, 2–6
Runner-up	22 July 2007	Cuenca , Ecuador	Clay	Leonardo Mayer	3–6, 2–6
Winner	2 March 2008	Santiago , Chile	Clay	Eduardo Schwank	6–4, 7–6 (7–3)
Winner	14 April 2008	Florianapolis , Brazil	Clay	Franco Ferreiro	4–6, 6–4, 6–2
Winner	4 May 2008	Tunis , Tunisia	Clay	Dušan Vemić	6–2, 6–4
Winner	11 May 2008	Rabat , Morocco	Clay	Martín Vassallo Argüello	6–2, 6–2
Winner	19 July 2009	Rimini , Italy	Clay	Juan Pablo Brzezicki	3–6, 6–3, 6–1
Winner	1 November 2009	São Paulo , Brazil	Clay	Nicolás Lapentti	6–4, 6–4
Runner-up	30 October 2010	São Paulo, Brazil	Clay	Marcos Daniel	1–6, 6–3, 3–6
Winner	7 July 2012	Braunschweig , Germany	Clay	Tobias Kamke	7–6 (7–4) , 6–3
Winner	3 November 2013	Montevideo , Uruguay	Clay	Diego Sebastián Schwartzman	6–4, 6–4
