Rank	Athlete	Country	Height	Points	Adjusted Points
1	Paavo Yrjölä	Finland	1.87	916	687
1	James Stewart	United States	1.87	916	687
1	Helge Jansson	Sweden	1.87	916	687
4	Ken Doherty	United States	1.80	818	627
4	Wilhelm Ladewig	Germany	1.80	818	627
6	Akilles Järvinen	Finland	1.75	748	585
6	Albert Andersson	Sweden	1.75	748	585
6	Tatsuo Toki	Japan	1.75	748	585
6	Johan Meimer	Estonia	1.75	748	585
6	Barney Berlinger	United States	1.75	748	585
6	Yonetaro Nagazawa	Japan	1.75	748	585
6	Gunnar Hagen	Norway	1.75	748	585
13	Tom Churchill	United States	1.70	678	544
13	Ludwig Vesely	Austria	1.70	678	544
13	Henry Lindblad	Sweden	1.70	678	544
13	Martti Tolamo	Finland	1.70	678	544
13	Antoni Cejzik	Poland	1.70	678	544
13	Branko Kallay	Yugoslavia	1.70	678	544
13	Gérard Noël	Belgium	1.70	678	544
13	Con O'Callaghan	Ireland	1.70	678	544
13	Johannes Viljoen	South Africa	1.70	678	544
13	Gunnar Fredriksen	Norway	1.70	678	544
23	Hugo Barth	Germany	1.65	608	504
23	Hermann Lemperle	Germany	1.65	608	504
23	Stelios Benardis	Greece	1.65	608	504
23	Mátyás Farkas	Hungary	1.65	608	504
23	Adolf Meier	Switzerland	1.65	608	504
28	Erwin Huber	Germany	1.60	538	464
28	Gheorghe Csegezi	Romania	1.60	538	464
28	Howard Ford	Great Britain	1.60	538	464
28	Ion Haidu	Romania	1.60	538	464
28	George Weightman-Smith	South Africa	1.60	538	464
33	Sven Lundgren	Sweden	1.50	398	389
33	Gaston Étienne	Belgium	1.50	398	389
33	René Joannes-Powell	Belgium	1.50	398	389
