Catalogue number	Artist	Release title	Format	Release date
DW001	The Clear Spots	Mountain Rock	CD	2006
DW002	The Clear Spots	Mansion In The Sky	CD	2005
DW003	Adam Bugaj	Wave Of Tears	CD	2005
DW004	Ajilvsga	Blood Nocturnes	CD	2006
DW005	The Clear Spots	Electricity For All	CD	2005
DW006	Heavy Winged	Echoes Of Silence	CD	2006
DW007	Niagara Falls / The Clear Spots	Plays Spiral Isles / Smokehouse Debris	CD	2006
DW008	Alligator Crystal Moth	Bones Of The Great Divide	CD	2007
DW009	Evening Fires	Evening Fires	CD	2006
DW010	Flying Sutra	Levitate And Dissolve	CD	2007
DW011	Anvil Salute	This Is The Voice Of Doom Calling	CD	2007
DW013	indoorpark	The Neutral Mile	CD	2008
DW014	United Bible Studies	Airs of Sun and Stone	CD	2008
DW015	Agitated Radio Pilot	The Rural Arcane	CD	2008
DW016	The Qoast / Century Plants	Split	CD	2008
DW017	Evening Fires	Blue Mountain Water	CD	2008
DW018	Ashtray Navigations	Sugar Head Record	CD	2009
DW019	The Goner	HH	CD	2009
DW020	Evening Fires	New Worlds For Old	CD	2009
DW021	Flying Sutra	Glowering And Glowing Red	CD	2009
DW022	Enfer Boréal / the.bricoleur / Tuscarora Borealis	Spiritual Machine	CD	2009
DW023	Evening Fires	Waves In The Air	CD	2009
DW024	The Goner	Behold A New Traveler	CD	2010
