School	Locality	Description	Ofsted	Website
Atherton St George's C.E. Primary School	Atherton	Primary school	130300	website
Chowbent Primary School	Atherton	Primary school	106443	website
Hindsford C.E. Primary School	Hindsford, Atherton	Primary school	106441	website
Meadowbank Primary and Nursery School	Atherton	Primary school	106425	website
Parklee Community School	Atherton	Primary school	106426	website
Sacred Heart R.C. Primary School	Hindsford, Atherton	Primary school	106499	website
St Michael's C.E. Primary School, Howe Bridge	Howe Bridge, Atherton	Primary school	106478	website
St Philip's C.E. Primary School	Atherton	Primary school	106515	website
St Richard's Catholic Primary School	Atherton	Primary school	106498	website
Hesketh Fletcher C.E. High School (closed)	Atherton	Secondary school	106536	website
New Greenhall School	Atherton	Special school	131295	website
