Rank	Rider	Mon 30 May	Tues 31 May	Wed 1 June	Thurs 2 June	Fri 3 June
1	Bruce Anstey 999cc Honda	—— No Time	17' 55.91 126.245mph	17' 27.29 129.695mph	Cancelled No Time	17' 13.46 131.431mph
2	John McGuinness 999cc Honda	18' 25.75 122.838mph	17' 32.59 129.041mph	17' 57.76 126.029mph	Cancelled No Time	17' 19.91 130.615mph
3	Guy Martin 1000cc Suzuki	18' 39.03 121.380mph	17' 39.00 128.261mph	17' 30.22 129.333mph	Cancelled No Time	17' 24.23 130.075mph
4	Michael Dunlop 1000cc Kawasaki	—— No Time	17' 55.44 126.300mph	17' 38.93 128.269mph	Cancelled No Time	17' 24.63 130.024mph
5	Gary Johnson 1000cc Honda	18' 29.14 122.463mph	17' 43.51 127.717mph	17' 37.43 128.452mph	Cancelled No Time	17' 36.58 128.554mph
6	Michael Rutter 1200cc Ducati	—— No Time	18' 14.21 124.134mph	17' 51.10 126.811mph	Cancelled No Time	17' 39.00 128.261mph
7	Cameron Donald 1000cc Honda	18' 42.07 121.051mph	17' 40.42 128.089mph	17' 44.75 127.568mph	Cancelled No Time	18' 01.79 129.695mph
8	Daniel Stewart 1000cc Honda	19' 09.70 118.142mph	17' 59.62 125.811mph	17' 48.40 127.132mph	Cancelled No Time	17' 43.80 127.682mph
9	Keith Amor 999cc Honda	18' 27.26 122.637mph	17' 58.72 125.916mph	17' 45.06 127.531mph	Cancelled No Time	17' 48.62 127.106mph
10	William Dunlop 1000cc Honda	—— No Time	18' 10.12 124.599mph	17' 59.10 125.872mph	Cancelled No Time	18' 37.81 121.513mph
11	James Hillier 1000cc Kawasaki	—— No Time	—— No Time	—— No Time	Cancelled No Time	18' 09.44 124.677mph
12	Luis Carreira 1000cc Kawasaki	—— No Time	—— No Time	—— No Time	Cancelled No Time	18' 13.41 124.224mph
13	John Burrows 1000cc Suzuki	19' 27.14 116.377mph	18' 43.34 120.915mph	18' 21.39 123.324mph	Cancelled No Time	18' 13.61 124.202mph
14	Ryan Farquhar 1000cc	18' 56.61 119.502mph	18' 14.94 124.051mph	—— No Time	Cancelled No Time	18' 17.45 123.767mph
15	Ian Mackman 1000cc Suzuki	19' 13.19 117.785mph	18' 30.89 122.270mph	18' 17.93 123.713mph	Cancelled No Time	18' 31.07 122.250mph
16	Dan Kneen 1000cc Kawasaki	—— No Time	18' 31.23 122.232mph	—— No Time	Cancelled No Time	18' 17.96 123.710mph
17	Conor Cummins 1000cc Kawasaki	19' 40.80 120.427mph	18' 49.99 120.203mph	19' 12.06 117.900mph	Cancelled No Time	18' 19.22 115.052mph
18	Adrian Archibald 1000cc Kawasaki	—— No Time	19' 18.80 117.215mph	18' 24.01 123.032mph	Cancelled No Time	18' 24.01 123.032mph
19	Steve Mercer 1000cc Kawasaki	—— No Time	19' 39.68 115.140mph	18' 47.07 120.514mph	Cancelled No Time	18' 26.84 122.717mph
