Series #	Title	Story #	Artist	Strip numbers	Number of strips	Dates of original publication of strip
1	Butch Cassidy Rides Again	61	ER	6520-6624A	126 (105+21A)	1986-09-16 - 1987-02-12
2	The Gallows Bird	26	ER	2971-3077	107	1973-01-08 - 1973-05-12
3	"Take Me to Your Leader"	29	ER	3310-3428	119	1974-02-11 - 1974-07-01
4	Highland Witch	30	ER	3429-3548	120	1974-07-02 - 1974-11-16
5	Cry Wolf	31	ER	3549-3638A	106 (90+16A)	1974-11-18 - 1975-03-25
6	The Reluctant Chaperon	32	ER	3639-3737	120 (99+21A)	1975-03-26 - 1975-08-14
7	The Greenwood Maid	33	ER	3738-3829A	111 (92+19A)	1975-08-15 - 1976-01-02
8	Those About to Die	34	ER	3830-3931A	123 (102+21A)	1976-01-05 - 1976-05-28
9	The Junk Men	37	ER	4142-4241A	120 (100+20A)	1977-03-29 - 1977-08-19
10	The Inca Trail	35	ER	3932-4031A	120 (100+20A)	1976-06-01 - 1976-10-20
11	The Vanishing Dollybirds	36	ER	4032-4141A	132 (110+22A)	1976-10-21 - 1977-03-28
12	Death Trap	38	ER	4242-4341A	120 (100+20A)	1977-08-22 - 1978-01-20
13	Idaho George	39	ER	4342-4447A	126 (106+20A)	1978-01-23 - 1978-06-16
14	The Golden Frog	40	ER	4448-4542A	114 (95+19A)	1978-06-19 - 1978-10-31
15	Green Cobra	42	JB	4648-4737A	108 (90+18A)	1979-04-02 - 1979-08-10
16	Yellowstone Booty	41	JB	4543-4647A	126 (105+21A)	1978-11-01 - 1979-03-30
17	Eve and Adam	43	JB PW	4738-4767A 4768-4837A	120 (100+20A)	1979-08-13 - 1979-11-24 1979-11-25 - 1980-01-04
18	Brethren of Blaise	44	PW	4838-4932A	114 (95+19A)	1980-01-07 - 1980-05-23
19	Dossier on Pluto	45	NC	4933-5032A	120 (100+20A)	1980-05-27 - 1980-10-14
20	The Wild Boar	58	NC	6215-6314A	120 (100+20A)	1985-07-03 - 1985-11-20
21	Kali's Disciples	59	NC	6315-6414A	120 (100+20A)	1985-11-21 - 1986-05-16
22	The Double Agent	60	NC	6515-6519A	126 (105+21A)	1986-05-17 - 1986-09-15
23	The Vampire of Malvescu	63	ER	6725-6829A	126 (105+21A)	1987-07-09 - 1987-12-03
24	The Galley Slaves	14	JH	1575-1629 1630A-1688	115 (114+1A)	1968-05-27 - 1968-08-06 1968-09-11 - 1968-11-16
