Date	Series	Circuit	City / State	Winner	Team
22 Jan	Winfield Triple Challenge	Eastern Creek Raceway	Sydney , New South Wales	Alan Jones	Peter Jackson Racing
5 Feb	ATCC Round 1	Sandown International Raceway	Melbourne , Victoria	Larry Perkins	Castrol Perkins Racing
26 Feb	ATCC Round 2	Symmons Plains Raceway	Launceston , Tasmania	John Bowe	Shell FAI Racing
5 Mar	ASTC Round 1	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Paul Morris	Paul Morris Motorsport
12 Mar	ATCC Round 3	Mount Panorama Circuit	Bathurst , New South Wales	John Bowe	Shell FAI Racing
18 - 19 Mar	Super Touring Cars	Surfers Paradise street circuit	Surfers Paradise , Queensland	Greg Murphy	Brad Jones Racing
2 Apr	ASTC Round 2	Oran Park Raceway	Sydney , New South Wales	Geoff Brabham	Paul Morris Motorsport
9 Apr	ATCC Round 4	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Glenn Seton	Peter Jackson Racing
23 Apr	ATCC Round 5	Lakeside International Raceway	Brisbane , Queensland	Glenn Seton	Peter Jackson Racing
7 May	ASTC Round 3	Symmons Plains Raceway	Launceston , Tasmania	Geoff Brabham	Paul Morris Motorsport
13 May	ASTC Round 4	Calder Park Raceway	Melbourne , Victoria	Paul Morris	Paul Morris Motorsport
21 May	ATCC Round 6	Winton Motor Raceway	Benalla , Victoria	John Bowe	Shell FAI Racing
28 May	ATCC Round 7	Eastern Creek Raceway	Sydney , New South Wales	Mark Skaife	Winfield Racing
4 Jun	ASTC Round 5	Mallala Motor Sport Park	Adelaide , South Australia	Geoff Brabham	Paul Morris Motorsport
9 Jul	ATCC Round 8	Mallala Motor Sport Park	Adelaide , South Australia	Glenn Seton	Peter Jackson Racing
16 Jul	ATCC Round 9	Barbagallo Raceway	Perth , Western Australia	Glenn Seton	Peter Jackson Racing
23 Jul	ASTC Round 6	Lakeside International Raceway	Brisbane , Queensland	Paul Morris	Paul Morris Motorsport
6 Aug	ATCC Round 10	Oran Park Raceway	Sydney , New South Wales	John Bowe	Shell FAI Racing
13 Aug	ASTC Round 7	Winton Motor Raceway	Benalla , Victoria	Brad Jones	Brad Jones Racing
26 Aug	ASTC Round 8	Eastern Creek Raceway	Sydney , New South Wales	Brad Jones	Brad Jones Racing
10 Sep	Repco Sandown 500	Sandown International Raceway	Melbourne , Victoria	Dick Johnson John Bowe	Shell FAI Racing
1 Oct	Tooheys 1000	Mount Panorama Circuit	Bathurst , New South Wales	Larry Perkins Russell Ingall	Castrol Perkins Racing
10 - 12 Nov	Clipsal 2.0L Super Touring Car Trophy	Adelaide Street Circuit	Adelaide , South Australia	Jim Richards	Ross Palmer Motorsport
10 - 12 Nov	EDS Five-Litre V8 Touring Cars	Adelaide Street Circuit	Adelaide , South Australia	John Bowe	Shell FAI Racing
25 Nov	TAC Peter Brock Classic Super Touring	Calder Park Raceway	Melbourne , Victoria	Brad Jones	Brad Jones Racing
25 Nov	TAC Peter Brock Classic	Calder Park Raceway	Melbourne , Victoria	Peter Brock	Holden Racing Team
