Rnd	Circuit	GTO Winning Team	GTU Winning Team	TO Winning Team	TU Winning Team	Results
1	Sebring	#59 Dave Helmick	#27 Don Lindley	#17 Vince Gimondo	#112 Jim Grob Racing	results
1	Sebring	Peter Gregg Hurley Haywood Dave Helmick	Don Lindley Stephen Behr Brian Goellnicht	Vince Gimondo Billy Dingman	Jim Grob Juan Montalvo	results
2	Daytona	#59 Brumos Porsche-Audi Corp.	#32 Bob Bergstrom	#88 Carter Racing Services	#112 Jim Grob Racing	results
2	Daytona	Peter Gregg Hurley Haywood	Bob Bergstrom Jim Cook	Maurice Carter	Jim Grob Juan Montalvo	results
3	Pocono	#1 Toad Hall Motor Racing	#62 Bob Bergstrom	#88 Carter Racing Services	#90 Z & W Mazda	results
3	Pocono	Mike Keyser Stephen Behr	Bob Bergstrom Jim Cook	Maurice Carter Tony DeLorenzo	Ray Walle Bob Speakman Richard Schuck	results
4	Daytona	#96 Gene Felton	#62 Bob Bergstrom	#88 Carter Racing Services	#32 BMW	results
4	Daytona	Gene Felton	Bob Bergstrom	Maurice Carter	Phil Dermer	results
5	Mid-Ohio	#1 Toad Hall Motor Racing	#62 Bob Bergstrom	#3 Ausca, Inc.	#60 Auto Sport by Jiri	results
5	Mid-Ohio	Mike Keyser Bob Beasley	Bob Bergstrom Jim Cook	Harry Theodoracopulos Horst Kwech	Dave Nicholas John Magee	results
6	Lime Rock	#1 Toad Hall Motor Racing	#62 Bob Bergstrom	#18 Warren Agor	#60 Auto Sport by Jiri	results
6	Lime Rock	Mike Keyser	Bob Bergstrom	Warren Agor	Dave Nicholas	results
7	Lime Rock	#59 Peter Gregg	#74 Ludwig Heimrath	#18 Warren Agor	#60 John Magee	results
7	Lime Rock	Peter Gregg	Ludwig Heimrath	Warren Agor	John Magee	results
8	Road Atlanta	#59 Peter Gregg	#74 Ludwig Heimrath	#3 Ausca	no finishers	results
8	Road Atlanta	Peter Gregg	Ludwig Heimrath	Horst Kwech	no finishers	results
9	IRP	#59 Peter Gregg	#74 Ludwig Heimrath	#3 Ausca	#90 Z & W Mazda	results
9	IRP	Peter Gregg	Ludwig Heimrath	Harry Theodoracopulos Horst Kwech	Ray Walle Ray Kraftson	results
10	Daytona	#59 Peter Gregg	#74 Ludwig Heimrath	#18 Warren Agor Racing	#35 BMW	results
