Year	Team	Comp	Long	Rate	RAtt	RYds	RAvg
1983	Miami	173	85	96.0	28	45	1.6
1984	Miami	362	80	108.9	28	-7	-0.3
1985	Miami	336	73	84.1	26	-24	-0.9
1986	Miami	378	85	92.5	12	-3	-0.3
1987	Miami	263	59	89.2	12	-5	-0.4
1988	Miami	354	80	80.8	20	-17	-0.9
1989	Miami	308	78	76.9	14	-7	-0.5
1990	Miami	306	69	82.6	16	29	1.8
1991	Miami	318	54	85.8	27	32	1.2
1992	Miami	330	62	85.1	20	66	3.3
1993	Miami	91	80	95.9	9	-4	-0.4
1994	Miami	385	64	89.2	22	-6	-0.3
1995	Miami	309	67	90.8	11	14	1.3
1996	Miami	221	74	87.8	11	-3	-0.3
1997	Miami	319	55	80.7	18	-14	-0.8
1998	Miami	310	61	80.0	21	-3	-0.1
1999	Miami	204	62	67.4	6	-6	-1.0
Career	Career	Comp	Long	Rate	RAtt	RYds	RAvg
17 Years	17 Years	4,967	85	86.4	301	87	0.3
