Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
26	January 3	@ San Antonio	L 113–114 (OT)	Charles Barkley (31)	Charles Barkley (12)	Kevin Johnson (8)	HemisFair Arena 16,057	21–5
27	January 5	@ Houston	W 106–104	Charles Barkley (29)	Charles Barkley (8)	Charles Barkley (10)	The Summit 13,755	22–5
28	January 7	@ Dallas	W 111–107	Charles Barkley (32)	Charles Barkley (14)	Charles Barkley , Dan Majerle (6)	Reunion Arena 13,750	23–5
29	December 12	@ Seattle	L 113–122	Charles Barkley (27)	Charles Barkley (11)	Kevin Johnson (8)	Seattle Center Coliseum 14,812	23–6
30	January 14	@ Sacramento	W 114–104	Richard Dumas , Dan Majerle (23)	Dan Majerle , Oliver Miller (9)	Kevin Johnson (8)	ARCO Arena 17,317	24–6
31	January 15	Miami	W 107–99	Charles Barkley (31)	Charles Barkley (10)	Kevin Johnson , Dan Majerle (5)	America West Arena 19,023	25–6
32	January 18	@ New York	L 103–106	Charles Barkley (27)	Charles Barkley (15)	Kevin Johnson (9)	Madison Square Garden 19,763	25–7
33	January 20	@ Cleveland	L 119–123	Richard Dumas (23)	Mark West (12)	Cedric Ceballos (5)	Coliseum at Richfield 20,273	25–8
34	January 22	@ Washington	W 122–115	Richard Dumas (26)	Charles Barkley (9)	Charles Barkley (7)	Capital Centre 18,756	26–8
35	January 23	@ Atlanta	W 110–91	Charles Barkley (32)	Charles Barkley (16)	Kevin Johnson (7)	Omni Coliseum 16,531	27–8
36	January 25	@ Detroit	W 121–119	Charles Barkley , Kevin Johnson (24)	Richard Dumas (11)	Kevin Johnson (9)	The Palace of Auburn Hills 21,454	28–8
37	January 27	@ Minnesota	W 117–116 (OT)	Charles Barkley (35)	Charles Barkley (24)	Kevin Johnson (7)	Target Center 18,503	29–8
38	January 29	San Antonio	W 125–110	Danny Ainge (26)	Charles Barkley (11)	Kevin Johnson (11)	America West Arena 19,023	30–8
