Name	Country	Status	Moving to	Transfer window	Transfer fee
Ujkani	ALB BEL	Transferred	Palermo	Summer	Undisclosed
Van Steenberghe	BEL	Contract ended	Dender	Summer	Free
Felipe	BRA	Transferred	Nacional	Summer	Undisclosed
Kone	BEL	Transferred	Londerzeel	Summer	Undisclosed
Olufemi	NGA	Transferred	Boavista	Summer	Undisclosed
Weydisch	BEL	Transferred	UR Namur	Summer	Undisclosed
Al-Abdeen	IRQ	Transferred	Al Hazm	Summer	Undisclosed
Cavallo	BEL	Transferred	Mons	Summer	Undisclosed
Gündoğan	BEL TUR	Transferred	Gençlerbirliği	Summer	Undisclosed
Kolář	CZE	Transferred	Helsingborgs IF	Summer	Undisclosed
Lacroix	BEL	Transferred	Tienen	Summer	Undisclosed
Lifondja	BEL COD	Transferred	RKC Waalwijk	Summer	Undisclosed
Vanden Borre	BEL	Transferred	Fiorentina	Summer	€3.8m
Yakassongo	BEL	Transferred	Mouscron	Summer	Undisclosed
Allagui	GER TUN	Transferred	Carl Zeiss Jena	Summer	Undisclosed
Mbokani	COD	Transferred	StandardLiège	Summer	Undisclosed
Owusu Acheampong	GHA	End of trial	Real Tamale	Summer	n/a
Tchité	COD	Transferred	RacingSantander	Summer	€7.5m
Baseggio	BEL	Transferred	Mouscron	Winter	Undisclosed
Odjidja-Ofoe	BEL	Transferred	Hamburger SV	Winter	Undisclosed
Triguinho	BRA	End of loan	São Caetano	Winter	n/a
von Schlebrügge	SWE	Transferred	Brøndby	Winter	Undisclosed
