Game	Date	Team	Score	High rebounds	High assists	Location Attendance	Record
2	November 1	@ San Antonio	L 72–91 (OT)	Jelani McCoy (15)	Lindsey Hunter (3)	SBC Center 18,787	1–1
3	November 2	@ Houston	L 76–88 (OT)	Michael Bradley , Morris Peterson (7)	Alvin Williams (3)	Compaq Center 16,285	1–2
4	November 4	Chicago	W 109–105 (OT)	Jerome Williams (12)	Alvin Williams (8)	Air Canada Centre 17,441	2–2
5	November 6	Dallas	L 92–106 (OT)	Jerome Williams (9)	Lindsey Hunter (6)	Air Canada Centre 19,800	2–3
6	November 9	@ Indiana	L 84–108 (OT)	Michael Bradley (10)	Alvin Williams (7)	Conseco Fieldhouse 15,365	2–4
7	November 12	@ Orlando	W 115–109 (OT)	Morris Peterson (12)	Voshon Lenard , Jerome Williams (4)	TD Waterhouse Centre 13,402	3–4
8	November 15	Denver	W 84–79 (OT)	Jerome Williams (9)	Voshon Lenard (6)	Air Canada Centre 18,985	4–4
9	November 17	Utah	L 78–82 (OT)	Antonio Davis , Jelani McCoy (8)	Alvin Williams (6)	Air Canada Centre 19,800	4–5
10	November 18	@ Atlanta	L 92–117 (OT)	Voshon Lenard , Morris Peterson (6)	Alvin Williams (5)	Philips Arena 6,374	4–6
11	November 20	Indiana	L 95–97 (OT)	Antonio Davis (10)	Alvin Williams (6)	Air Canada Centre 19,206	4–7
12	November 22	@ Philadelphia	L 80–90 (OT)	Antonio Davis (12)	Alvin Williams (6)	First Union Center 19,410	4–8
13	November 24	Philadelphia	L 84–94 (OT)	Antonio Davis , Jerome Williams (8)	Voshon Lenard , Alvin Williams (5)	Air Canada Centre 19,800	4–9
14	November 27	New York	L 81–87 (OT)	Greg Foster (9)	Alvin Williams (7)	Air Canada Centre 19,800	4–10
15	November 29	@ Boston	W 98–95 (OT)	Greg Foster (9)	Alvin Williams (11)	FleetCenter 18,624	5–10
