Title	Series	Release	Featuring	Writer	Director	Length	Release Date
Gift of the Gods	Stargate SG-1	1.1	Michael Shanks John Schwab	Sally Malcolm	Sharon Gosling	70'	April 1, 2008
A Necessary Evil	Stargate Atlantis	1.2	Torri Higginson Timothy Watson	Sharon Gosling	Sharon Gosling	70'	May 2008
Shell Game	Stargate SG-1	1.3	Claudia Black Michael Shanks	James Swallow	Sharon Gosling	70'	June 1, 2008
Perchance to Dream	Stargate Atlantis	1.4	Paul McGillion Sara Douglas	Sally Malcolm	Sharon Gosling	70'	July 2008
Savarna	Stargate SG-1	1.5	Teryl Rothery Toby Longworth	Sally Malcolm	Sharon Gosling	70'	August 2008
Zero Point	Stargate Atlantis	1.6	David Nykl Ursula Burton	James Swallow	Sharon Gosling	70'	September 2008
First Prime	Stargate SG-1	2.1	Christopher Judge Noel Clarke	James Swallow	Sharon Gosling	70'	May 30, 2009
Impressions	Stargate Atlantis	2.2	Kavan Smith Nicholas Briggs	Scott Andrews	Sharon Gosling	60'	June 30, 2009
Pathogen	Stargate SG-1	2.3	Teryl Rothery Christopher Judge	Sharon Gosling	Sharon Gosling	60'	July 31, 2009
The Kindness of Strangers	Stargate Atlantis	2.4	Paul McGillion Neil Roberts	Sharon Gosling	Sharon Gosling	60'	August 31, 2009
Lines of Communication	Stargate SG-1	2.5	Gary Jones Beth Chalmers	Luke Mansell	Richard Dolmat Sharon Gosling	60'	September 30, 2009
Meltdown	Stargate Atlantis	2.6	David Nykl Aiden J. David	David A McIntee	Sharon Gosling	60'	October 30, 2009
Half-Life	Stargate SG-1	3.1	Michael Shanks Claudia Black Cliff Simon	James Swallow	Lisa Bowerman & Jason Haigh-Ellery	60'	May 2012
An Eye for an Eye	Stargate SG-1	3.2	Michael Shanks Claudia Black Cliff Simon	Sally Malcolm	Lisa Bowerman & Jason Haigh-Ellery	60'	May 2012
Infiltration	Stargate SG-1	3.3	Michael Shanks Claudia Black Cliff Simon	Steve Lyons	Lisa Bowerman & Jason Haigh-Ellery	60'	May 2012
Excision	Stargate SG-1	3.4	Michael Shanks Claudia Black	Peter J. Evans	Lisa Bowerman & Jason Haigh-Ellery	60'	December 2012
Duplicity	Stargate SG-1	3.5	Michael Shanks Claudia Black	Richard Dinnick	Lisa Bowerman & Jason Haigh-Ellery	60'	December 2012
Time's Wheel	Stargate SG-1	3.6	Michael Shanks Claudia Black	Sharon Gosling	Lisa Bowerman & Jason Haigh-Ellery	60'	December 2012
