No.	State/Region	Districts	Town ships	Cities/ Towns	Wards	Village groups	Villages
1	Kachin State	3	18	20	116	606	2630
2	Kayah State	2	7	7	29	79	624
3	Kayin State	3	7	10	46	376	2092
4	Chin State	2	9	9	29	475	1355
5	Sagaing Region	8	37	37	171	1769	6095
6	Tanintharyi Region	3	10	10	63	265	1255
7	Bago Region	4	28	33	246	1424	6498
8	Magway Region	5	25	26	160	1543	4774
9	Mandalay Region	7	31	29	259	1611	5472
10	Mon State	2	10	11	69	381	1199
11	Rakhine State	4	17	17	120	1041	3871
12	Yangon Region	4	45	20	685	634	2119
13	Shan State	11	54	54	336	1626	15513
14	Ayeyarwady Region	6	26	29	219	1912	11651
