Tie no	Home team	Score	Away team	Attendance
41	Folkestone Invicta	1–2	Horsham	345
42	Wroxham	2–1	Heybridge Swifts	223
43	Burgess Hill Town	0–0	Bognor Regis Town	426
44	Bedford Town	2–2	AFC Wimbledon	1,296
45	Welling United	1–1	Whyteleafe	336
46	Bishop's Stortford	3–2	Wingate and Finchley	303
47	Hitchin Town	0–0	Stanway Rovers	293
48	St Albans City	0–0	Harlow Town	404
49	Erith & Belvedere	0–2	Godalming Town	156
50	Dulwich Hamlet	2–2	Hendon	353
51	Merstham	1–1	Thamesmead Town	137
52	Leighton Town	0–1	Crowborough Athletic	161
53	Dartford	0–1	Hampton & Richmond Borough	1,061
54	Staines Town	0–0	Hayes & Yeading United	561
55	Maidstone United	3–2	Fisher Athletic	389
56	Bury Town	2–1	Chelmsford City	698
57	Hemel Hempstead Town	1–2	Ware	202
58	Carshalton Athletic	1–2	Leiston	311
59	Sutton United	3–1	Billericay Town	410
60	Cambridge City	1–1	Worthing	357
61	Kingstonian	4–0	Braintree Town	356
62	Dover Athletic	3–1	Needham Market	809
63	East Thurrock United	3–0	VCD Athletic	157
64	Arlesey Town	1–4	Ashford Town (Middx)	129
65	Paulton Rovers	1–0	Bitton	198
66	Fleet Town	5–0	Newport Pagnell Town	191
67	Poole Town	1–3	Frome Town	431
68	Bath City	2–0	Clevedon Town	486
69	Aylesbury United	4–1	Mangotsfield United	203
70	Weston Super Mare	2–4	Chesham United	281
71	Eastleigh	1–0	Farnborough	687
72	AFC Totton	2–1	Thatcham Town	302
73	Havant & Waterlooville	2–2	Shortwood United	402
74	Bashley	2–1	Maidenhead United	312
75	Basingstoke Town	3–1	Hamworthy United	329
76	Oxford City	2–1	Tiverton Town	257
77	Aylesbury Vale	1–1	Gosport Borough	136
78	Dorchester Town	2–2	Newport County	396
79	Chalfont St Peter	0–1	Team Bath	190
80	Truro City	1–1	Chippenham Town	710
