Rider	Manufacturer	Laps	Time	Grid
Casey Stoner	Ducati	30	46:46.114	1
Dani Pedrosa	Honda	30	+3.390	2
Valentino Rossi	Yamaha	30	+12.194	10
Andrea Dovizioso	Honda	30	+24.159	9
Nicky Hayden	Honda	30	+26.232	3
Colin Edwards	Yamaha	30	+32.209	4
Shinya Nakano	Honda	30	+34.571	15
Jorge Lorenzo	Yamaha	30	+35.661	7
Loris Capirossi	Suzuki	30	+38.228	8
Alex de Angelis	Honda	30	+47.583	16
James Toseland	Yamaha	30	+52.107	5
Sylvain Guintoli	Ducati	30	+52.350	13
Chris Vermeulen	Suzuki	30	+52.833	12
John Hopkins	Kawasaki	30	+53.227	14
Randy de Puniet	Honda	30	+53.411	6
Marco Melandri	Ducati	30	+1:08.387	18
Anthony West	Kawasaki	30	+1:11.181	17
Toni Elias	Ducati	30	+1:37.055	11
