NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
2014	Association of stars	Dorado	05h32m24s	°41′
2020	Diffuse nebula	Dorado	05h33m12s	°43′
2021	Association of stars	Dorado	05h33m30s	°27′
2022	Planetary nebula	Orion	05h42m06.2s	°05′11″
2023	Diffuse nebula	Orion	05h41m37.9s	°15′52″
2024	Emission nebula	Orion	05h41m43s	°51′
2025	Open cluster	Mensa	05h32m33s	°43′
2043	Open cluster	Mensa	05h35m56.7s	°04′23″
2068	Diffuse nebula	Orion	05h46m46.7s	°00′50″
2070	Open cluster	Dorado	05h38m42s	°06′
2080	Open cluster	Dorado	05h39m44s	°39′
2090	Spiral galaxy	Columba	05h47m02.3s	°15′05″
2099	Open cluster	Auriga	05h52m19s	°33′
2100	Open cluster	Dorado	05h42m09s	°12′43″
