Team	Chairman	Head Coach	Captain	Kitmaker	Shirt sponsor
Al Ahli	Abdullah Saeed Al Naboodah	Abdul Hamid Al Mistaki	Fabio Cannavaro	Adidas	Toshiba
Al Jazira	Mansour Bin Zayed Al Nahyan	Abel Braga	Ibrahim Diaky	Adidas	IPIC
Al Wahda	Sheikh Saeed Bin Zayed Al Nahyan	Josef Hickersberger	Bashir Saeed	Nike	EMAL
Al Ain	Hazza bin Zayed Al Nahyan	Alexandre Gallo	Ali Al Wehaibi	Macron	First Gulf Bank
Al Sharjah	Abdullah bin Mohammed Al Thani	Abdul Majid	Abdullah Suhail	N/A	Saif-Zone
Al Nasr	Maktoum bin Hasher bin Maktoum Al Maktoum	Walter Zenga	Abdallah Mousa	Erreà	Emirates NBD
Ittihad Kalba	Saeed Bin Saqr Al Qasimi	Jorvan Vieira	Gregory Dufrennes	Adidas	Gillett Group
Dubai	Sheikh Ahmed Bin Rashed Al Maktoum	Junior dos Santos	Ali Hassan	Umbro	N/A
Bani Yas	Saif bin Zayed Al Nahyan	Mahdi Ali	Fawzi Bashir	Erreà	Secure Project Management
Al Wasl	Sheikh Ahmed Bin Rashed Al Maktoum	Khalifa Mobarak	Khalid Darwish	Nike	Saif Belhasa Group of Companies
Al Shabab	HH Sh Saeed bin Maktoum Al Maktoum	Paulo Bonamigo	Adeel Abdullah	Erreà	emaratech
