Driver	Constructor	Laps	Time/Retired	Grid
Niki Lauda	Ferrari	78	1:42:21.6	3
Jody Scheckter	Wolf - Ford	78	+5.2	5
Patrick Depailler	Tyrrell - Ford	78	+5.7	4
James Hunt	McLaren - Ford	78	+9.5	1
Jochen Mass	McLaren - Ford	78	+19.9	12
John Watson	Brabham - Alfa Romeo	78	+20.2	11
Vittorio Brambilla	Surtees - Ford	78	+23.6	14
Carlos Reutemann	Ferrari	78	+26.7	8
Clay Regazzoni	Ensign - Ford	78	+46.2	16
Emerson Fittipaldi	Fittipaldi - Ford	78	+1:11.7	9
Hans Binder	Surtees - Ford	77	+1 lap	19
Gunnar Nilsson	Lotus - Ford	77	+1 lap	10
Carlos Pace	Brabham - Alfa Romeo	76	+2 laps	2
Brett Lunger	March - Ford	76	+2 laps	23
Larry Perkins	BRM	73	+5 laps	22
Alex Ribeiro	March - Ford	66	Engine	17
Hans Joachim Stuck	March - Ford	55	Engine	18
Mario Andretti	Lotus - Ford	43	Accident	6
Boy Hayje	March - Ford	33	Gearbox	21
Jacques Laffite	Ligier - Matra	22	Accident	12
Tom Pryce	Shadow - Ford	22	Fatal accident	15
Renzo Zorzi	Shadow - Ford	21	Fuel leak	20
Ronnie Peterson	Tyrrell - Ford	5	Fuel system	7
