Player	Pos.	From	School/Country	Rebs	Asts
Rubén Garcés Category:Articles with hCards	PF	2000	Providence	22	4
Diante Garrett Category:Articles with hCards	G	2012	Iowa State	15	31
Pat Garrity Category:Articles with hCards	PF	1998	Notre Dame	75	18
Kenny Gattison Category:Articles with hCards	PF	1986	Old Dominion	271	36
Armen Gilliam Category:Articles with hCards	PF	1987	UNLV	1,045	132
Gordan Giriček Category:Articles with hCards	G/F	2008	Croatia	51	35
Georgi Glouchkov Category:Articles with hCards	PF	1985	Bulgaria	163	32
Grant Gondrezick Category:Articles with hCards	SG	1986	Pepperdine	110	81
Gail Goodrich Category:Articles with hCards	PG	1968	UCLA	777	1,123
Archie Goodwin Category:Articles with hCards	G	2013	Kentucky	1	0
Marcin Gortat Category:Articles with hCards	C	2010	Poland	1,688	237
Brian Grant Category:Articles with hCards	F/C	2005	Xavier	57	7
Greg Grant Category:Articles with hCards	PG	1989	Trenton State	59	168
A. C. Green Category:Articles with hCards	F/C	1993	Oregon State	2,114	353
Gerald Green Category:Articles with hCards	G/F	2013	Gulf Shores Academy (TX)	2	0
Lamar Green Category:Articles with hCards	PF	1969	Morehead State	2,186	247
Gary Gregor Category:Articles with hCards	PF	1968	South Carolina	711	96
Greg Griffin Category:Articles with hCards	F	1977	Idaho State	103	24
Taylor Griffin Category:Articles with hCards	F	2009	Oklahoma	2	1
Tom Gugliotta Category:Articles with hCards	PF	1999	North Carolina State	1,438	353
