Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
アテンションプリーズ	Attention Please	Fuji TV	11	16.37%
医龍-Team Medical Dragon-	Iryuu -Team Medical Dragon-	Fuji TV	11	14.8%
弁護士のくず	Bengoshi no Kuzu	TBS	11	12.74%
クロサギ	Kurosagi	TBS	11	15.67%
おいしいプロポーズ	Oishii Propose	TBS	10	12.0%
トップキャスター	Top Caster	TBS	11	18.3%
富豪刑事2	Fugou Keiji 2	TV Asahi	10	12.0%
７人の女弁護士	Shichinin no Onna Bengoshi	TV Asahi	9	12.05%
ギャルサー	Gyarusa- ; Gal Circle	NTV	11	12.9%
プリマダム	Primadem	NTV	11	11.2%
ブスの瞳に恋してる	Busu no Hitomi ni Koishiteru	Fuji TV	12	15.9%
