Rank	WS Points	Name	Country	08-09 I/O best	08-09 GP/JGP best	08-09 GP/JGP 2nd	08-09 OI best	08-09 OI 2nd	07-08 I/O best	07-08 GP/JGP best	07-08 GP/JGP 2nd	07-08 OI best	07-08 OI 2nd
1	3861	Carolina Kostner	Italy	756	648	400	250	0	756	454	280	175	142
2	3840	Yu-Na Kim	South Korea	1200	720	400	0	0	680	560	280	0	0
3	3699	Mao Asada	Japan	875	800	400	0	0	840	504	280	0	0
4	3068	Joannie Rochette	Canada	1080	583	400	0	0	551	227	227	0	0
5	2953	Laura Lepistö	Finland	840	324	262	225	225	476	183	149	142	127
6	2736	Miki Ando	Japan	972	472	360	0	0	476	252	204	0	0
7	2493	Rachael Flatt	United States	787	360	292	0	0	501	378	175	0	0
8	2341	Caroline Zhang	United States	644	324	262	0	0	451	408	252	0	0
9	2118	Yukari Nakano	Japan	0	525	360	0	0	613	368	252	0	0
10	1983	Alena Leonova	Russia	715	262	213	225	0	295	158	115	0	0
11	1941	Sarah Meier	Switzerland	517	236	0	203	0	529	252	204	0	0
12	1915	Júlia Sebestyén	Hungary	402	213	0	250	0	428	183	149	175	115
13	1873	Fumie Suguri	Japan	574	360	324	0	0	228	204	183	0	0
14	1854	Ashley Wagner	United States	579	292	292	0	0	281	227	183	0	0
15	1721	Elene Gedevanishvili	Georgia	465	213	0	250	182	312	165	134	0	0
16	1675	Joshi Helgesson	Sweden	521	133	108	225	225	266	104	93	0	0
17	1634	Susanna Pöykiö	Finland	680	262	236	164	0	0	134	0	158	0
18	1614	Sarah Hecken	Germany	380	203	164	250	203	239	175	0	0	0
19	1565	Akiko Suzuki	Japan	402	360	0	250	203	0	0	0	175	175
20	1529	Ivana Reitmayerova	Slovakia	342	148	108	250	225	115	68	0	158	115
21	1453	Mirai Nagasu	United States	0	262	191	0	0	405	420	175	0	0
22	1449	Alissa Czisny	United States	418	324	292	250	0	0	165	0	0	0
23	1439	Kimmie Meissner	United States	0	191	191	0	0	447	330	280	0	0
