Res.	Record	Opponent	Method	Round	Time	Location
Loss	20-15	Kevin Jordan	Decision (unanimous)	3	5:00	Salem, New Hampshire , United States
Win	20–14	Brad Imes	KO (punches)	1	0:28	Kansas City, Missouri , United States
Win	19-14	Aaron Winterlee	Submission (neck crank)	1	2:22	Springfield, Missouri , United States
Loss	18-14	Jeremiah Constant	Submission (punches)	1	0:42	Tulsa, Oklahoma , United States
Win	18-13	Aaron Winterlee	Submission (guillotine choke)	2	1:11	Miami, Oklahoma , United States
Win	17-13	Eric Esch	Submission (punches and elbows)	1	3:17	Atlantic City, New Jersey , United States
Win	16-13	Derrick Ruffin	TKO (punches)	2	1:02	Missouri , United States
Win	15-13	David Tyner	TKO (punches)	2	2:45	Antlers, Oklahoma , United States
Win	14-13	Scott Arnold	TKO (punches)	1	2:12	Quebec , Canada
Loss	13-13	Tom Clemens	Submission (kneebar)	2	1:35	Boise, Idaho , United States
Win	13-12	Brian Stromberg	KO (punches)	1	4:00	Boise, Idaho , United States
Win	12-12	Vernon Earwood	TKO (knee and punches)	1	2:33	Denver, Colorado , United States
Win	11-12	Richard Gomez	Submission (guillotine choke)	1	0:47	Corpus Christi, Texas , United States
Win	10-12	Allan Sullivan	KO (punches)	1	3:35	Colorado , United States
Loss	9-12	Marcus Silveira	DQ (knees on a grounded opponent)	1	0:50	DeLand, Florida , United States
Win	9-11	Chuck Gale	TKO (elbows and punches)	1	7:31	Littleton, Colorado , United States
Loss	8-11	Maxim Tarasov	Submission (heel hook)	1	3:31	Moscow , Russia
Loss	8-10	Moti Horenstein	KO (head kick)	1	0:26	Littleton, Colorado , United States
Loss	8-9	Matt Asher	TKO (punches)	1	0:11	Littleton, Colorado , United States
Win	8-8	Joe Grant	Submission (punches)	1	0:35	Littleton, Colorado , United States
Win	7-8	David Dodd	Decision (unanimous)	1	16:00	West Valley City, Utah , United States
Win	6-8	Tony Mendoza	TKO (punches)	1	7:27	South Dakota , United States
Win	5-8	Marco Selva	Submission (punches)	1	4:35	Rio de Janeiro , Brazil
Loss	4-8	Marco Ruas	Submission (heel hook)	1	0:39	Rio de Janeiro , Brazil
Loss	4-7	Fabio Gurgel	Submission (armbar)	1	0:50	Rio de Janeiro , Brazil
Loss	4–6	Dave Beneteau	Submission (punches)	1	1:09	Tokyo , Japan
Loss	4-5	Kiyoshi Tamura	Submission (heel hook)	1	0:55	Nagoya , Japan
Loss	4-4	Kimo Leopoldo	Submission (punches)	1	2:59	Sapporo , Japan
Win	4-3	Rudyard Moncayo	Submission (rear naked choke)	1	1:08	Casper, Wyoming , United States
Loss	3-3	Kimo Leopoldo	Submission (punches)	1	3:00	Nagoya , Japan
Loss	3–2	Royce Gracie	Submission (punches)	1	1:17	Denver, Colorado , United States
Win	3–1	Johnny Rhodes	Submission (guillotine choke)	1	1:07	Denver, Colorado , United States
Win	2–1	Scott Morris	TKO (elbows)	1	0:30	Denver, Colorado , United States
Win	1–1	Ray Wizard	Submission (guillotine choke)	1	0:58	Denver, Colorado , United States
Loss	0-1	Ken Shamrock	Submission (heel hook)	1	1:49	Denver, Colorado , United States
