Player	Games Played	Minutes	Field Goals	Three Pointers	Free Throws	Rebounds	Assists	Blocks	Steals	Points
Moore Maya Moore	39	1209	284	90	96	348	127	59	76	754
Montgomery Renee Montgomery	39	1237	226	99	93	82	199	9	61	644
Charles Tina Charles	39	982	259	0	124	348	41	62	35	642
Greene Kalana Greene	39	990	141	6	50	181	68	11	37	338
Doty Caroline Doty	17	406	52	30	13	57	33	4	16	147
Hayes Tiffany Hayes	39	1002	109	46	63	156	102	15	44	327
McLaren Kaili McLaren	38	581	61	0	37	130	73	22	19	159
Williams Tahirah Williams	33	245	33	0	22	62	22	4	9	88
Dixon Lorin Dixon	39	604	28	2	31	63	71	2	17	89
Gardler Meghan Gardler	32	335	19	5	15	62	21	3	12	58
Fernandes Jacquie Fernandes	30	141	8	3	4	17	2	0	3	23
