Year	Title	Producer	Narrator	Author	Citation
2013	The Fault in Our Stars	Brilliance Audio	Kate Rudd	John Green	Winner
2013	Artemis Fowl: The Last Guardian	Listening Library	Nathaniel Parker	Eoin Colfer	Honor
2013	Ghost Knight	Listening Library	Elliot Hill	Cornelia Funke	Honor
2013	Monstrous Beauty	Macmillan Audio	Katherine Kellgren	Elizabeth Fama	Honor
2012	Rotters	Listening Library	Kirby Heyborne	Daniel Kraus	Winner
2012	Ghetto Cowboy	Brilliance Audio	J.D. Jackson	G. Neri	Honor
2012	Okay for Now	Listening Library	Lincoln Hoppe	Gary D. Schmidt	Honor
2012	The Scorpio Races	Scholastic Audio Books	Steve West Fiona Hardingham	Maggie Stiefvater	Honor
2012	Young Fredle	Listening Library	Wendy Carter	Cynthia Voigt	Honor
2011	The True Meaning of Smekday	Listening Library	Bahni Turpin	Adam Rex	Honor
2011	Alchemy and Meggy Swann	Listening Library	Katherine Kellgren	Karen Cushman	Honor
2011	The Knife of Never Letting Go	Brilliance Audio	Nick Podehl	Patrick Ness	Honor
2011	Revolution	Listening Library	Emily Janice Card	Jennifer Donnelly	Honor
2011	Will Grayson, Will Grayson	Brilliance Audio	MacLeod Andrews	John Green David Levithan	Honor
2010	Louise, the Adventures of a Chicken	Live Oak Media	Barbara Rosenblat	Kate DiCamillo	Winner
2010	In the Belly of the Bloodhound	Listen & Live Audio	Katherine Kellgren	L. A. Meyer	Honor
2010	Peace, Locomotion	Brilliance Audio	Dion Graham	Jacqueline Woodson	Honor
2010	We Are the Ship: The Story of Negro Baseball	Brilliance Audio	Dion Graham	Kadir Nelson	Honor
2009	The Absolutely True Diary of a Part-Time Indian	Recorded Books	Sherman Alexie	Sherman Alexie	Winner
2009	Curse of the Blue Tattoo	Listen & Live Audio	Katherine Kellgren	L. A. Meyer	Honor
2009	Elijah of Buxton	Listening Library	Mirron Willis	Christopher Paul Curtis	Honor
2009	I'm Dirty	Scholastic Media / Weston Woods Studios	Steve Buscemi	Kate McMullan Jim McMullan	Honor
2009	Martina the Beautiful Cockroach: A Cuban Folktale	Peachtree Publishers	Carmen Agra Deedy	Carmen Agra Deedy	Honor
2009	Nation	HarperAudio	Stephen Briggs	Terry Pratchett	Honor
2008	Jazz	Live Oak Media	James "D-Train" Williams Vaneese Thomas	Walter Dean Myers	Winner
2008	Bloody Jack	Listen & Live Audio	Katherine Kellgren	L. A. Meyer	Honor
2008	Dooby Dooby Moo	Scholastic / Weston Woods	Randy Travis	Doreen Cronin	Honor
2008	Harry Potter and the Deathly Hallows	Listening Library	Jim Dales	J. K. Rowling	Honor
2008	Skulduggery Pleasant	HarperCollins Children's Audio	Rupert Degas	Derek Landy	Honor
2008	Treasure Island	Listening Library	Alfred Molina	Robert Louis Stevenson	Honor
