Year	Album	Vocals	Bass	Drums	Label
1982	How Could Hell Be Any Worse?	Greg Graffin	Jay Bentley	Jay Ziskrout / Pete Finestone	Epitaph
1983	Into the Unknown	Greg Graffin	Paul Dedona	Davy Goldman	Epitaph
1988	Suffer	Greg Graffin	Jay Bentley	Pete Finestone	Epitaph
1989	No Control	Greg Graffin	Jay Bentley	Pete Finestone	Epitaph
1990	Against the Grain	Greg Graffin	Jay Bentley	Pete Finestone	Epitaph
1992	Generator	Greg Graffin	Jay Bentley	Bobby Schayer	Epitaph
1993	Recipe for Hate	Greg Graffin	Jay Bentley	Bobby Schayer	Epitaph Atlantic
1994	Stranger Than Fiction	Greg Graffin	Jay Bentley	Bobby Schayer	Atlantic
1996	The Gray Race	Greg Graffin	Jay Bentley	Bobby Schayer	Atlantic
1998	No Substance	Greg Graffin	Jay Bentley	Bobby Schayer	Atlantic
2000	The New America	Greg Graffin	Jay Bentley	Bobby Schayer	Atlantic
2002	The Process of Belief	Greg Graffin	Jay Bentley	Brooks Wackerman	Epitaph
2004	The Empire Strikes First	Greg Graffin	Jay Bentley	Brooks Wackerman	Epitaph
2007	New Maps of Hell	Greg Graffin	Jay Bentley	Brooks Wackerman	Epitaph
2010	The Dissent of Man	Greg Graffin	Jay Bentley	Brooks Wackerman	Epitaph
2013	True North	Greg Graffin	Jay Bentley	Brooks Wackerman	Epitaph
2013	Christmas Songs	Greg Graffin	Jay Bentley	Brooks Wackerman	Epitaph
