Game	Date	Team	Score	Record	Streak
7	November 1	@ Portland Trail Blazers	106–113	4–3	Loss 2
8	November 3	@ Los Angeles Lakers	124–101	5–3	Win 1
9	November 6	@ New Orleans Jazz	110–98	6–3	Win 2
10	November 9	Detroit Pistons	109–100	7–3	Win 3
11	November 10	@ Detroit Pistons	124–117	8–3	Win 4
12	November 12	Cleveland Cavaliers	112–94	9–3	Win 5
13	November 14	@ Boston Celtics (at Providence, Rhode Island)	112–100	10–3	Win 6
14	November 16	Kansas City-Omaha Kings	101–96	11–3	Win 7
15	November 19	Golden State Warriors	111–106	12–3	Win 8
16	November 20	@ Washington Bullets	115–104	13–3	Win 9
17	November 21	Philadelphia 76ers (at Toronto, Canada)	99–95	14–3	Win 10
18	November 23	Phoenix Suns	117–104	15–3	Win 11
19	November 24	@ Chicago Bulls	89–91	15–4	Loss 1
20	November 26	@ Philadelphia 76ers	103–99	16–4	Win 1
21	November 29	Washington Bullets	93–96	16–5	Loss 1
22	November 30	@ New York Knicks	111–118	16–6	Loss 2
