Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
47	February 3	@ Sacramento	W 115–113 (OT)	George Hill (23)	Tim Duncan (13)	George Hill (9)	Arco Arena 12,934	28-19
48	February 4	@ Portland	L 93–96 (OT)	Manu Ginobili (21)	Tim Duncan (12)	Tony Parker (6)	Rose Garden 20,572	28-20
49	February 6	@ Los Angeles Clippers	W 98–81 (OT)	George Hill (22)	Antonio McDyess (10)	Tony Parker (14)	Staples Center 18,258	29-20
50	February 8	@ Los Angeles Lakers	L 89–101 (OT)	Manu Ginobili (21)	Tim Duncan (15)	Tony Parker (8)	Staples Center 18,997	29-21
51	February 11	@ Denver	W 111–92 (OT)	George Hill , DeJuan Blair (17)	DeJuan Blair (9)	Manu Ginobili (6)	Pepsi Center 18,611	30-21
52	February 17	@ Indiana	W 90–87 (OT)	Tony Parker (28)	Tim Duncan (26)	Manu Ginobili (7)	Conseco Fieldhouse 14,947	31-21
53	February 19	@ 76ers	L 94–106 (OT)	Manu Ginobili (24)	Tim Duncan (9)	George Hill , Tony Parker (5)	Wachovia Center 16,376	31-22
54	February 21	@ Detroit	L 101–109 (OT)	Tim Duncan (29)	Tim Duncan (10)	George Hill , Manu Ginobili (5)	Palace of Auburn Hills 20,153	31-23
55	February 24	Oklahoma City	W 95–87 (OT)	Manu Ginobili (26)	Tim Duncan (15)	Tim Duncan (6)	AT&T Center 18,400	32-23
56	February 26	@ Houston	L 104–109 (OT)	George Hill (26)	Manu Ginobili (10)	Roger Mason, Jr. , Manu Ginobili (4)	Toyota Center 18,195	32-24
