Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Runner-up	1991	Cincinnati	Hard	Guy Forget	6–2, 6–7 (4–7) , 4–6
Runner-up	1991	Paris	Carpet (i)	Guy Forget	6–7 (9–11) , 6–4, 7–5, 4–6, 4–6
Winner	1992	Cincinnati	Hard	Ivan Lendl	6–3, 3–6, 6–3
Winner	1993	Miami	Hard	MaliVai Washington	6–3, 6–2
Winner	1994	Indian Wells	Hard	Petr Korda	4–6, 6–3, 3–6, 6–3, 6–2
Winner	1994	Miami (2)	Hard	Andre Agassi	5–7, 6–3, 6–3
Winner	1994	Rome	Clay	Boris Becker	6–1, 6–2, 6–2
Winner	1995	Indian Wells (2)	Hard	Andre Agassi	7–5, 6–3, 7–5
Runner-up	1995	Miami	Hard	Andre Agassi	6–3, 2–6, 6–7 (6–8)
Runner-up	1995	Canada (Montreal)	Hard	Andre Agassi	6–3, 2–6, 3–6
Winner	1995	Paris	Carpet (i)	Boris Becker	7–6 (7–5) , 6–4, 6–4
Runner-up	1996	Stuttgart	Carpet (i)	Boris Becker	6–3, 3–6, 6–3, 3–6, 4–6
Winner	1997	Cincinnati (2)	Hard	Thomas Muster	6–3, 6–4
Winner	1997	Paris (2)	Carpet (i)	Jonas Björkman	6–3, 4–6, 6–3, 6–1
Runner-up	1998	Cincinnati (2)	Hard	Patrick Rafter	6–1, 6–7 (2–7) , 4–6
Runner-up	1998	Paris (2)	Carpet (i)	Greg Rusedski	4–6, 6–7 (4–7) , 3–6
Winner	1999	Cincinnati (3)	Hard	Patrick Rafter	7–6 (9–7) , 6–3
Winner	2000	Miami (3)	Hard	Gustavo Kuerten	6–1, 6–7 (2–7) , 7–6 (7–5) , 7–6 (10–8)
