No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
33	1	"Wings Over Hooterville"	Richard L. Bare	Jay Sommers and Dick Chevillat	September14,1966	33
34	2	"Water, Water Everywhere"	Richard L. Bare	Jay Sommers and Dick Chevillat	September21,1966	35
37	5	"The Ugly Duckling"	Richard L. Bare	Jay Sommers and Dick Chevillat	October19,1966	34
38	6	"One of Our Assemblymen is Missing"	Richard L. Bare	Jay Sommers and Dick Chevillat	October26,1966	38
39	7	"The Good Old Days"	Richard L. Bare	Jay Sommers and Dick Chevillat	November2,1966	39
40	8	"Eb Discovers the Birds and the Bees"	Richard L. Bare	Jay Sommers and Dick Chevillat	November9,1966	40
41	9	"The Hooterville Image"	Richard L. Bare	Jay Sommers and Dick Chevillat	November16,1966	41
42	10	"You Ought to Be in Pictures"	Richard L. Bare	Jay Sommers and Dick Chevillat	November23,1966	42
43	11	"A Home Isn't Built in a Day"	Richard L. Bare	Dick Chevillat & Elon Packard and Jay Sommers	November30,1966	43
44	12	"A Square is Not Round"	Richard L. Bare	Elroy Schwartz	December14,1966	44
45	13	"An Old-fashioned Christmas"	Richard L. Bare	Jay Sommers and Buddy Atkinson	December21,1966	46
46	14	"Never Trust a Little Old Lady"	Richard L. Bare	Jay Sommers & Dick Chevillat and Al Schwartz	December28,1966	48
47	15	"School Days"	Richard L. Bare	Jay Sommers and Dick Chevillat	January4,1967	49
48	16	"His Honor"	Richard L. Bare	Dick Chevillat and Al Schwartz	January11,1967	47
49	17	"It's So Peaceful in the Country"	Richard L. Bare	David Braverman and Bob Marcus	January18,1967	45
50	18	"Exodus to Bleedswell"	Richard L. Bare	Jay Sommers and Dick Chevillat	January25,1967	50
51	19	"It's Human to be Humane"	Richard L. Bare	Sam Locke and Joel Rapp	February1,1967	51
52	20	"Never Take Your Wife to a Convention"	Richard L. Bare	Jay Sommers and Dick Chevillat	February8,1967	52
53	21	"The Computer Age"	Richard L. Bare	Jay Sommers and Dick Chevillat	February15,1967	54
54	22	"Never Start Talking Unless Your Voice Comes Out"	Richard L. Bare	Jay Sommers and Dick Chevillat	February22,1967	53
55	23	"The Beverly Hillbillies"	Richard L. Bare	Jay Sommers and Dick Chevillat	March1,1967	55
56	24	"Lisa's Vegetable Garden"	Richard L. Bare	Jay Sommers & Dick Chevillat	March8,1967	56
58	26	"Getting Even With Haney"	Richard L. Bare	Jay Sommers and Dick Chevillat	March22,1967	59
59	27	"Kimball Gets Fired"	Richard L. Bare	Jay Sommers and Dick Chevillat	March29,1967	60
60	28	"The Vulgar Ring Story"	Richard L. Bare	Jay Sommers and Dick Chevillat	April12,1967	58
61	29	"Who's Lisa?"	Richard L. Bare	Jay Sommers and Dick Chevillat	April19,1967	61
